Asset ID,Group,Title,Artifact Type,Source Part,Required,Exists,Size Bytes,Relative Path,Absolute Path,SHA256
FIG01_PNG,Main Figure,Figure 01 — Research Workflow,PNG,24.2,True,True,2390202,Figures\Figure_01_Research_Workflow.png,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_01_Research_Workflow.png,c485d6148757bb9f36b79939bae5f752de543d9b32c688d4c823b2da70d83490
FIG01_PDF,Main Figure,Figure 01 — Research Workflow,PDF,24.2,True,True,89274,Figures\Figure_01_Research_Workflow.pdf,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_01_Research_Workflow.pdf,21c490dda94910350e067b18ab2b460a5c10c7df2b361c97856aea94a7f698d3
FIG02_PNG,Main Figure,Figure 02 — External PlantDoc Normalized Confusion Matrix,PNG,24.6,True,True,279096,Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix.png,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix.png,903f6ed0f74d707feb57149b282ba60adc066a3e961f2e9f2c6a2be90ee57a44
FIG02_PDF,Main Figure,Figure 02 — External PlantDoc Normalized Confusion Matrix,PDF,24.6,True,True,25752,Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix.pdf,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix.pdf,56c7dbba90263f9a0640bc6c0c544d861650cf9541d06229e088fb35c956890f
FIG02_CAPTION,Main Figure,Figure 02 — External PlantDoc Normalized Confusion Matrix,Caption,24.6,True,True,634,Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix_Caption.txt,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_02_External_PlantDoc_Normalized_Confusion_Matrix_Caption.txt,2c379e62b67e21b971ba2adc360c7a4d3220b6d442d3d67d4002c8dbc5f09ad3
FIG03_PNG,Main Figure,Figure 03 — Class-wise F1 Degradation,PNG,24.7B,True,True,443789,Figures\Figure_03_Classwise_F1_Degradation.png,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_03_Classwise_F1_Degradation.png,b1b60d9ded3949f421e9aa156d12686dbc8911e858c97065dcd0408cc6a56ac8
FIG03_PDF,Main Figure,Figure 03 — Class-wise F1 Degradation,PDF,24.7B,True,True,42612,Figures\Figure_03_Classwise_F1_Degradation.pdf,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_03_Classwise_F1_Degradation.pdf,d8201154528f44066418120635d42bff4c5580ff29802d5d663492b65d1f6f83
FIG03_CAPTION,Main Figure,Figure 03 — Class-wise F1 Degradation,Caption,24.7B,True,True,649,Figures\Figure_03_Classwise_F1_Degradation_Caption.txt,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_03_Classwise_F1_Degradation_Caption.txt,11414f932bfe7ad302bc72455998805c10ae0d4d9b604d91cea3d5fdf357fe8b
FIG03_DATA_CSV,Supporting Data,Figure 03 — Class-wise F1 Degradation,CSV,24.7B,True,True,516,Data\Figure_03_Classwise_F1_Degradation_Data.csv,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Figure_03_Classwise_F1_Degradation_Data.csv,c23a299853549703f99b8276f58afb606e720d05f92225e7435c27c0b08b92ee
FIG03_DATA_XLSX,Supporting Data,Figure 03 — Class-wise F1 Degradation,XLSX,24.7B,True,True,5199,Data\Figure_03_Classwise_F1_Degradation_Data.xlsx,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Figure_03_Classwise_F1_Degradation_Data.xlsx,b240adae4449e8faed2814da7d9eefaba38480f35d741e309c8aeac9caa951c1
FIG04_PNG,Main Figure,Figure 04 — Dataset-Level Visual Domain Shift,PNG,24.8,True,True,882792,Figures\Figure_04_Dataset_Level_Domain_Shift.png,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_04_Dataset_Level_Domain_Shift.png,2717f6449be06472c8471718f344d3ad6c69b1d98def7f5453bbdd5492f285ef
FIG04_PDF,Main Figure,Figure 04 — Dataset-Level Visual Domain Shift,PDF,24.8,True,True,55448,Figures\Figure_04_Dataset_Level_Domain_Shift.pdf,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_04_Dataset_Level_Domain_Shift.pdf,d8aaae53b3e3b524ea5211660ec42509a9b882bb99eda9fea762ae6c6ae2bbfb
FIG04_CAPTION,Main Figure,Figure 04 — Dataset-Level Visual Domain Shift,Caption,24.8,True,True,774,Figures\Figure_04_Dataset_Level_Domain_Shift_Caption.txt,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_04_Dataset_Level_Domain_Shift_Caption.txt,91fc9e462f1573ceeb5a8d9254b7a644918c1724ed0795d6bc88cbe64099bbe9
FIG04_PER_IMAGE_CSV,Supporting Data,Figure 04 — Per-image Visual Statistics,CSV,24.8,True,True,715651,Data\Dataset_Visual_Shift_Per_Image.csv,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Dataset_Visual_Shift_Per_Image.csv,d0f5c44676290d8241fa59f2652cb7d410d02348271cbeb56314f0d78628fca2
FIG04_PER_IMAGE_XLSX,Supporting Data,Figure 04 — Per-image Visual Statistics,XLSX,24.8,True,True,339216,Data\Dataset_Visual_Shift_Per_Image.xlsx,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Dataset_Visual_Shift_Per_Image.xlsx,332e39b817f3254eda29a03612f1f982e18671e3f7b9c39a736b1faa3624cb1d
FIG04_SUMMARY_CSV,Supporting Data,Figure 04 — Visual Shift Summary,CSV,24.8,True,True,2572,Data\Dataset_Visual_Shift_Summary.csv,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Dataset_Visual_Shift_Summary.csv,4cffac8767046e4d51a1e847b900f17feed305e8fafd5a7da76fb5c6f31f3374
FIG04_SUMMARY_XLSX,Supporting Data,Figure 04 — Visual Shift Summary,XLSX,24.8,True,True,6700,Data\Dataset_Visual_Shift_Summary.xlsx,D:\Tomato_Disease_Research\Conference_Paper_Assets\Data\Dataset_Visual_Shift_Summary.xlsx,8d71ebe4d7a78b67359ec587a3a5eae4ad019e98c6ad6345a0a89b5da22b3531
FIG05_PNG,Main Figure,Figure 05 — Frozen ConvNeXt Feature-Space PCA,PNG,24.9D,True,True,1624579,Figures\Figure_05_Frozen_ConvNeXt_Feature_Space_PCA.png,D:\Tomato_Disease_Research\Conference_Paper_Assets\Figures\Figure_05_Frozen_ConvNeXt_Feature_Space_PCA.png,ea2f777955dbd108f5bf0d52ae2efd2c294609f1c5e8301db361edd32a21c127
