Metric,PlantVillage_N,PlantVillage_Mean,PlantVillage_SD,PlantVillage_Median,PlantVillage_Q1,PlantVillage_Q3,PlantDoc_N,PlantDoc_Mean,PlantDoc_SD,PlantDoc_Median,PlantDoc_Q1,PlantDoc_Q3,External_Minus_Internal_Mean,Cohens_d,Absolute_Cohens_d
Brightness,2399,115.56320218892832,16.315678596287132,116.04654693603516,106.54890441894531,124.26043319702148,79,120.41386568093601,30.01133796238795,116.06770324707031,105.26899719238281,132.33861541748047,4.850663492007698,0.28673102163227404,0.28673102163227404
Contrast,2399,38.72351910104946,10.661886370734246,39.06573486328125,30.528656005859375,46.74163818359375,79,52.72239006621928,16.77125411215245,49.080814361572266,41.67839241027832,60.106632232666016,13.998870965169822,1.283513864414124,1.283513864414124
Sharpness,2399,4325.727803563813,4545.601505063739,3108.95458984375,853.2852172851562,6338.7216796875,79,727.3483238642729,885.7245168624439,463.2894287109375,160.48404693603516,944.5621337890625,-3598.37947969954,-0.8038931443269122,0.8038931443269122
Entropy (bits),2399,7.012187977934845,0.536997156340235,7.098470535549348,6.787585776256057,7.368897980785247,79,7.080559953807052,0.7279733884932138,7.338198295633486,6.957917967451088,7.483884016558126,0.068371975872207,0.12567522670515693,0.12567522670515693
Mean Red,2399,114.83039527756316,17.67877486124989,115.88212585449219,104.61876678466797,125.138427734375,79,111.18041741093502,33.18135380272526,106.3631362915039,95.31718063354492,123.58539962768555,-3.6499778666281344,-0.19871567260776873,0.19871567260776873
Mean Green,2399,118.3083790456717,16.604798458730052,118.36360168457031,108.82234191894531,126.79669189453125,79,131.42203125772596,31.37927293357573,127.5975570678711,110.96560668945312,150.17984008789062,13.113652212054262,0.7595863881333715,0.7595863881333715
Mean Blue,2399,103.34995611651135,17.998351098389037,104.39535522460938,92.4465103149414,114.8991470336914,79,87.94901319093341,34.557694115788316,83.6021728515625,62.387311935424805,101.57846450805664,-15.400942925577937,-0.8216237922243432,0.8216237922243432
Image Width,2399,256.0,0.0,256.0,256.0,256.0,79,892.4430379746835,971.0797155854002,500.0,300.0,1012.0,636.4430379746835,3.6926034957549874,3.6926034957549874
Image Height,2399,256.0,0.0,256.0,256.0,256.0,79,734.7721518987341,739.2236389924973,448.0,300.0,795.5,478.77215189873414,3.649060416407301,3.649060416407301
Aspect Ratio,2399,1.0,0.0,1.0,1.0,1.0,79,1.2332206129780972,0.2841196896352913,1.3278008298755186,1.0,1.3333333333333333,0.23322061297809715,4.624807064056987,4.624807064056987
