embedding_row,domain,domain_code,image_path,predicted_index,confidence,embedding_norm,PC1,PC2
0,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,0,0.99999917,24.850569,9.041245,10.842173
1,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG,0,0.9999994,25.326244,8.4343605,10.909145
2,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,0,0.9999993,25.017344,9.471655,10.867712
3,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\03e6cea1-1c09-420a-a22e-2c29844004d1___GCREC_Bact.Sp 3076.JPG,0,0.9999994,25.38642,9.703836,11.218365
4,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,0,0.99999917,25.192253,9.083365,11.59037
5,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0493c0e5-27e3-41d6-81f0-7830cef39080___UF.GRC_BS_Lab Leaf 8615.JPG,0,0.99999917,24.89505,9.588144,10.36186
6,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\04fcd6e4-a96e-49ba-b67a-32b88337b505___GCREC_Bact.Sp 3689.JPG,0,0.9999995,25.438694,9.900494,11.961353
7,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,0,0.9999993,25.298147,9.658329,11.547322
8,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\07238109-52ed-4369-b16c-6f5844858b81___UF.GRC_BS_Lab Leaf 0447.JPG,0,0.999998,24.89509,9.04381,10.101017
9,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\076ef17d-dfd3-4dbc-a351-a14eff1aecdb___UF.GRC_BS_Lab Leaf 8980.JPG,0,0.9999989,24.861528,9.418663,10.114749
10,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\087cec29-0b94-4fd0-9c29-92f50cc8155f___UF.GRC_BS_Lab Leaf 0289.JPG,0,0.99999857,24.598475,9.143037,9.467529
11,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\096c159e-7f45-404c-ba64-eecc7941ce23___GCREC_Bact.Sp 5675.JPG,0,0.9999994,25.071503,10.382588,10.940913
12,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0a1655ed-797c-4d1d-ba35-dc255d68a2ee___GCREC_Bact.Sp 3560.JPG,0,0.9999994,25.320272,8.650674,12.604815
13,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0a6d40e4-75d6-4659-8bc1-22f47cdb2ca8___GCREC_Bact.Sp 6247.JPG,0,0.9999994,24.894978,8.75483,10.480968
14,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0ab41c2e-c6fc-4ef1-9ffb-ce1b241d32be___GCREC_Bact.Sp 3426.JPG,0,0.9999993,25.569979,8.762484,12.05907
15,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0ad88d7a-c14a-4ac9-8520-c11a0ade3a8f___UF.GRC_BS_Lab Leaf 0996.JPG,0,0.9999932,24.514643,8.772235,9.866444
16,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0b37769a-a451-4507-a236-f46348e3a9ac___GCREC_Bact.Sp 3265.JPG,0,0.9999995,25.429327,9.396081,11.820288
17,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0c2ee2f1-e725-4031-96ea-57e3b8b626b3___GCREC_Bact.Sp 5645.JPG,0,0.9999993,25.22746,9.867566,10.100134
18,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0ce4dee0-2d0c-4c25-a9b2-4abc5f9083db___GCREC_Bact.Sp 3708.JPG,0,0.9999988,24.802212,8.322617,11.398589
19,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0d227915-443b-402c-8a25-cc43434c4bb0___GCREC_Bact.Sp 5913.JPG,0,0.999997,24.911629,6.032447,11.192013
20,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0de30b71-8bd0-4270-a65b-7ae8befdd765___GCREC_Bact.Sp 6360.JPG,0,0.99999905,25.379997,8.17894,11.838173
21,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0f3160b6-4cd4-486f-b0cf-269e406c41b5___GCREC_Bact.Sp 3522.JPG,0,0.9999994,25.327484,9.400516,12.148628
22,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0f4ce5ef-5ecf-4c5d-b301-3b5a44e3a1c8___UF.GRC_BS_Lab Leaf 0408.JPG,0,0.9999989,24.912903,10.25897,10.120111
23,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\0fe8eb74-5520-4870-a069-d4f54b99d719___GCREC_Bact.Sp 6330.JPG,0,0.99999905,24.969164,8.72841,11.147719
24,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\10c418e8-59b3-4d9f-a22b-7762b538e758___UF.GRC_BS_Lab Leaf 0900.JPG,0,0.99999917,25.132767,9.320072,10.368489
25,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\111a63c7-6445-47a4-a0d6-9157fd82b804___UF.GRC_BS_Lab Leaf 0565.JPG,0,0.99999845,24.352003,8.659902,9.190228
26,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1169b92d-a606-4560-ae1a-ceee401fc959___GCREC_Bact.Sp 3447.JPG,0,0.9999994,25.26526,9.241993,11.234887
27,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG,0,0.9999995,25.200766,8.422531,11.271051
28,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\12168e10-ea77-4d6b-841e-bfe48e141cee___GCREC_Bact.Sp 6085.JPG,0,0.99999917,25.100037,9.624475,10.787877
29,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1371d8ed-b95f-4dd0-834c-9f3a944ca8dd___GCREC_Bact.Sp 3463.JPG,0,0.9999995,25.393059,8.68134,11.459897
30,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1406a6e5-8aab-44df-997a-6386c01dc086___GCREC_Bact.Sp 5974.JPG,0,0.9999995,25.020199,8.714602,11.004485
31,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\140ee344-ae36-403a-ace1-21d45f67ce57___GCREC_Bact.Sp 2969.JPG,0,0.9999981,24.718115,6.4970713,10.137942
32,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\16912266-6a1b-426c-9e58-2f0ff1a4e35a___UF.GRC_BS_Lab Leaf 8673.JPG,0,0.99999917,25.189243,8.668964,11.196192
33,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1737e7ba-181e-400c-ab66-7723468e277f___UF.GRC_BS_Lab Leaf 0348.JPG,0,0.99999833,24.719479,7.942735,9.899285
34,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\176ee70d-778e-4f49-a761-67271feff912___GCREC_Bact.Sp 5976.JPG,0,0.9999995,25.256609,9.10828,10.857449
35,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1917515d-7e2f-479c-afec-95b4d3ae07e8___GCREC_Bact.Sp 5607.JPG,0,0.99999917,25.114544,10.418539,10.875042
36,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\19969ddc-0cdd-42f6-bbc4-351752a7ccec___GCREC_Bact.Sp 3428.JPG,0,0.9999993,25.55298,8.118263,12.34997
37,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1a067cc9-cf70-41a5-a51c-aa0f6b8a936d___UF.GRC_BS_Lab Leaf 0327.JPG,0,0.9999988,24.650797,9.681545,9.062837
38,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1a83cb1d-6e47-4caf-931f-61ecad37dca4___GCREC_Bact.Sp 6167.JPG,0,0.9999994,25.563356,8.975402,11.936399
39,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1ac8d300-077c-43dc-8685-83ac695e07b4___GCREC_Bact.Sp 3672.JPG,0,0.9999993,25.468597,9.179826,11.73399
40,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1addf690-441a-40c5-b1e7-c618a8af1f40___GCREC_Bact.Sp 3744.JPG,0,0.9999994,25.07392,9.186208,11.281517
41,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1aeee055-1c5f-4aab-a4af-bfe860f7dc46___GCREC_Bact.Sp 3034.JPG,0,0.9999994,25.20243,9.911828,11.044734
42,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1afcd540-c746-4c02-8611-686ec35caaf5___GCREC_Bact.Sp 5654.JPG,0,0.99999905,25.123466,9.544165,11.000874
43,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1cdfa566-3dc1-4be4-8ec9-91fd300ac06d___GCREC_Bact.Sp 3468.JPG,0,0.9999995,25.511484,9.793554,11.672563
44,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1d6494e5-d659-47f2-a854-95f7633f8018___GCREC_Bact.Sp 6102.JPG,0,0.9999993,24.704117,8.64623,10.707114
45,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1e0582c9-3b55-4aaf-b63b-f223c13eac86___GCREC_Bact.Sp 5571.JPG,0,0.9999995,25.364222,10.011171,11.007021
46,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110.JPG,0,0.9999993,24.700115,8.873675,10.571671
47,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\21833eb1-b84e-4471-816b-166e575ed0e7___GCREC_Bact.Sp 3244.JPG,0,0.9999994,25.169237,10.356113,10.58815
48,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\225a427b-3e65-45fc-aaa4-1210fb81c20e___GCREC_Bact.Sp 3457.JPG,0,0.9999994,25.24816,10.061977,11.121245
