,Bacterial spot,Early blight,Late blight,Leaf mold,Septoria,Spider mites,Target spot,YLCV,Mosaic virus,Healthy
Bacterial spot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Early blight,0.0,99.33333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Late blight,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leaf mold,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Septoria,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Spider mites,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Target spot,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
YLCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Mosaic virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
