class_index,class,training_images,training_percentage,class_weight,weighted_class_contribution
0,Tomato_Bacterial_spot,1489,13.295829984820074,0.7521155137676293,1119.9
1,Tomato_Early_blight,700,6.250558085543352,1.5998571428571429,1119.9
2,Tomato_Late_blight,1331,11.884989731226002,0.8413974455296769,1119.8999999999999
3,Tomato_Leaf_Mold,666,5.946959549959818,1.6815315315315316,1119.9
4,Tomato_Septoria_leaf_spot,1240,11.072417180105367,0.9031451612903226,1119.9
5,Tomato_Spider_mites_Two_spotted_spider_mite,1174,10.483078846325565,0.9539182282793867,1119.8999999999999
6,Tomato__Target_Spot,983,8.777569425841593,1.139267548321465,1119.9
7,Tomato__Tomato_YellowLeaf__Curl_Virus,2246,20.055362085900526,0.49861976847729295,1119.8999999999999
8,Tomato__Tomato_mosaic_virus,261,2.330565229038307,4.2908045977011495,1119.9
9,Tomato_healthy,1109,9.902669881239397,1.0098286744815148,1119.8999999999999
