hash,image_path,class,original_group_size
000242598ec9b62e72d95f875073a9e3,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\13668efa-2c92-4e5a-94e1-e0bc53aab6c6___RS_Late.B 6962.JPG,Tomato_Late_blight,1
0002d8dcbab2ced6f81933121f1c2a7a,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\30374887-5005-4023-a9af-62af0d0c2872___GCREC_Bact.Sp 3822.JPG,Tomato_Bacterial_spot,1
00074581c8910afbee5ab46b700e6a00,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3a6ccb7a-58bf-49b8-bc01-65eb74c210dd___GCREC_Bact.Sp 3051.JPG,Tomato_Bacterial_spot,1
0010d63617bb9a903706a3eeb29b0c4c,D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\23977dea-f6c3-4d90-b3bd-f6e55d41938f___Com.G_SpM_FL 1766.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,1
0012b17b3b569b989414d7ae2a251ed3,D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\d2785da0-30ff-49d1-bf7d-9a2f07412b64___Com.G_SpM_FL 1149.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,1
0014ce7665bf920f76037a13bcd17eb0,D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\2f577458-6085-4b56-9291-56a902c577d4___Com.G_SpM_FL 1466.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,1
001bc4237d498ff5191d3c5aee72acfe,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\628a1db2-79a4-43c4-a51a-3dba32d1af01___UF.GRC_YLCV_Lab 09358.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,1
002073ba35b4eac8c0f7bd18d9834f22,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\19e29a5d-897d-4ff0-8aab-8562d74b0eb8___GCREC_Bact.Sp 6031.JPG,Tomato_Bacterial_spot,1
00264496dd76c56ee79def2dc1ecbf49,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\8241608e-ce34-4f4d-a421-0a2af2367456___YLCV_NREC 2124.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,1
0030949defdb8cc7a3fd18d9243ffecb,D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\6acdfc27-7fc5-47c9-bbe9-153ac4a3b797___Com.G_SpM_FL 9014.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,1
00353665f9e6fa847e1e7c54eac3836f,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852.JPG,Tomato_Early_blight,1
003a4ebcddee42170ed4a4db330c3b35,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\71a9f997-ccd8-476b-82a3-d9aa733c4a1d___UF.GRC_YLCV_Lab 02817.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,1
00418e966098dc984a3048eedd4f9b34,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_mosaic_virus\6ddf37fe-9143-420d-a269-c57f53ac5429___PSU_CG 2213.JPG,Tomato__Tomato_mosaic_virus,1
0041f53e05acede8a7de133adb763c8f,D:\Tomato_Disease_Research\plantvillage\Tomato_Leaf_Mold\24b03bfc-3491-490d-9178-61c6c56c4b56___Crnl_L.Mold 9018.JPG,Tomato_Leaf_Mold,1
0042ecd630732b2af958771236af91b4,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\317e1357-d86b-4bfa-a492-e8bbd461acc7___GCREC_Bact.Sp 6314.JPG,Tomato_Bacterial_spot,1
00434c474f5f5372722496540cfe2b19,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\8080a99f-e35d-4a1f-b26e-e2df8cf79408___RS_Late.B 6183.JPG,Tomato_Late_blight,1
0044f61613c24fda9aa446b1866c268e,D:\Tomato_Disease_Research\plantvillage\Tomato__Target_Spot\1a94e7be-a54f-42e2-ac9c-7242ea9d0fb0___Com.G_TgS_FL 9852.JPG,Tomato__Target_Spot,1
004bed6012dd4a1f391f7340633cb678,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\d354267e-4855-4197-a18a-668d706db705___RS_Erly.B 7405.JPG,Tomato_Early_blight,1
004ce9822c7458304980b14d5636b690,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\cb8d79da-8394-46ee-896c-70906127d4ad___JR_Sept.L.S 8537.JPG,Tomato_Septoria_leaf_spot,1
00563ae19340a7429d125675aad989c2,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\528f7ad4-282f-4efe-a3c8-6390e0bef59c___YLCV_NREC 0187.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,1
005b84888bcfd3625637401bf7e70ec7,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\2b526b63-b759-4187-ab73-ce49ebb07191___JR_Sept.L.S 2681.JPG,Tomato_Septoria_leaf_spot,1
005e58a343129229be7fe6d7e15b631a,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\35c64b94-b2f4-456d-b55f-a376827186c2___GHLB2 Leaf 129.JPG,Tomato_Late_blight,1
006150150cf2358dbb465f798c4558bf,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\459c7e33-9780-4af1-b373-5ec67bdde2c1___UF.GRC_YLCV_Lab 02897.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,1
