class,mean_brightness,std_brightness,mean_contrast,std_contrast,image_count,display_name
Tomato_Bacterial_spot,104.91635314769233,10.709770112912773,33.41457362145844,5.9904462849406155,2127,Bacterial Spot
Tomato_Early_blight,110.58288259887695,14.153618724422525,46.31041253089905,11.044765515218453,1000,Early Blight
Tomato_Late_blight,113.6107087193007,28.342333549363694,39.63442850840336,14.906082452377163,1901,Late Blight
Tomato_Leaf_Mold,115.40912237087218,12.585075648668974,36.82393284004276,9.170121064054973,952,Leaf Mold
Tomato_Septoria_leaf_spot,130.9014212179157,16.38293391910307,37.839910459814604,10.348354760221511,1771,Septoria Leaf Spot
Tomato_Spider_mites_Two_spotted_spider_mite,119.27212144765194,10.088236938528746,44.56300658997602,6.540653536775282,1676,Spider Mites
Tomato__Target_Spot,118.7509008445631,9.302839153140976,45.10166954654574,6.1049865320312735,1404,Target Spot
Tomato__Tomato_YellowLeaf__Curl_Virus,114.41870186156466,14.091331786444012,34.74136479626273,9.667288780187803,3208,Yellow Leaf Curl Virus
Tomato__Tomato_mosaic_virus,117.3545439773846,12.349778073758213,34.79212909729168,6.111247410400972,373,Mosaic Virus
Tomato_healthy,116.23897906282346,7.571095094291331,38.340605723745064,12.104004922904577,1585,Healthy
