class,image_count,percentage
Tomato__Tomato_YellowLeaf__Curl_Virus,3208,20.053760080015003
Tomato_Bacterial_spot,2127,13.296243045571043
Tomato_Late_blight,1901,11.883478152153529
Tomato_Septoria_leaf_spot,1771,11.070825779833719
Tomato_Spider_mites_Two_spotted_spider_mite,1676,10.47696443083078
Tomato_healthy,1585,9.908107770206914
Tomato__Target_Spot,1404,8.776645621053948
Tomato_Early_blight,1000,6.251172094767769
Tomato_Leaf_Mold,952,5.951115834218916
Tomato__Tomato_mosaic_virus,373,2.3316871913483777
