image_path,class,red_mean,green_mean,blue_mean,red_std,green_std,blue_std
D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\13668efa-2c92-4e5a-94e1-e0bc53aab6c6___RS_Late.B 6962.JPG,Tomato_Late_blight,133.42991638183594,134.22227478027344,96.38554382324219,56.33235549926758,54.034706115722656,57.49247741699219
D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\30374887-5005-4023-a9af-62af0d0c2872___GCREC_Bact.Sp 3822.JPG,Tomato_Bacterial_spot,103.59681701660156,109.39009094238281,89.63777160644531,39.84639358520508,26.483938217163086,40.97978591918945
D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3a6ccb7a-58bf-49b8-bc01-65eb74c210dd___GCREC_Bact.Sp 3051.JPG,Tomato_Bacterial_spot,101.11259460449219,109.78895568847656,100.27626037597656,46.28498840332031,32.49494552612305,42.42192840576172
D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\23977dea-f6c3-4d90-b3bd-f6e55d41938f___Com.G_SpM_FL 1766.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,123.72727966308594,124.1051025390625,106.34394836425781,46.57374954223633,43.66264724731445,49.75908279418945
D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\d2785da0-30ff-49d1-bf7d-9a2f07412b64___Com.G_SpM_FL 1149.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,122.35786437988281,127.68339538574219,108.62771606445312,47.13833999633789,40.569236755371094,54.466915130615234
D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\2f577458-6085-4b56-9291-56a902c577d4___Com.G_SpM_FL 1466.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,121.61152648925781,125.29249572753906,109.106689453125,49.37174987792969,46.800254821777344,52.235408782958984
D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\628a1db2-79a4-43c4-a51a-3dba32d1af01___UF.GRC_YLCV_Lab 09358.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,115.58990478515625,134.97215270996094,89.34735107421875,32.32389831542969,27.604223251342773,49.486778259277344
D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\19e29a5d-897d-4ff0-8aab-8562d74b0eb8___GCREC_Bact.Sp 6031.JPG,Tomato_Bacterial_spot,92.90544128417969,100.84220886230469,90.24797058105469,43.51434326171875,30.103721618652344,39.96229934692383
D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\8241608e-ce34-4f4d-a421-0a2af2367456___YLCV_NREC 2124.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,113.66604614257812,107.95091247558594,90.38896179199219,46.096092224121094,35.938533782958984,47.558597564697266
D:\Tomato_Disease_Research\plantvillage\Tomato_Spider_mites_Two_spotted_spider_mite\6acdfc27-7fc5-47c9-bbe9-153ac4a3b797___Com.G_SpM_FL 9014.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,135.66990661621094,121.3338623046875,103.64169311523438,52.40575408935547,44.2934455871582,48.306461334228516
D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852.JPG,Tomato_Early_blight,118.79611206054688,117.19578552246094,106.08882141113281,57.916969299316406,51.81748580932617,60.0310173034668
D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\71a9f997-ccd8-476b-82a3-d9aa733c4a1d___UF.GRC_YLCV_Lab 02817.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,110.10758972167969,121.39292907714844,86.49554443359375,26.391189575195312,24.69759178161621,42.76608657836914
D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_mosaic_virus\6ddf37fe-9143-420d-a269-c57f53ac5429___PSU_CG 2213.JPG,Tomato__Tomato_mosaic_virus,93.2781982421875,95.97988891601562,100.3253173828125,30.65227699279785,25.819169998168945,37.8471565246582
D:\Tomato_Disease_Research\plantvillage\Tomato_Leaf_Mold\24b03bfc-3491-490d-9178-61c6c56c4b56___Crnl_L.Mold 9018.JPG,Tomato_Leaf_Mold,98.53312683105469,110.239013671875,124.67758178710938,25.801746368408203,29.21433448791504,44.62129211425781
D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\317e1357-d86b-4bfa-a492-e8bbd461acc7___GCREC_Bact.Sp 6314.JPG,Tomato_Bacterial_spot,100.70149230957031,110.54766845703125,96.89413452148438,43.83692932128906,33.90733337402344,45.0639762878418
D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\8080a99f-e35d-4a1f-b26e-e2df8cf79408___RS_Late.B 6183.JPG,Tomato_Late_blight,114.3154296875,125.47557067871094,104.74598693847656,47.885498046875,45.05345153808594,57.0811653137207
D:\Tomato_Disease_Research\plantvillage\Tomato__Target_Spot\1a94e7be-a54f-42e2-ac9c-7242ea9d0fb0___Com.G_TgS_FL 9852.JPG,Tomato__Target_Spot,101.83433532714844,99.89883422851562,98.53330993652344,36.5190315246582,28.956138610839844,34.60991668701172
D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\d354267e-4855-4197-a18a-668d706db705___RS_Erly.B 7405.JPG,Tomato_Early_blight,107.46792602539062,108.96829223632812,101.43681335449219,47.428497314453125,39.229095458984375,45.96649932861328
D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\cb8d79da-8394-46ee-896c-70906127d4ad___JR_Sept.L.S 8537.JPG,Tomato_Septoria_leaf_spot,132.77713012695312,127.16859436035156,115.47297668457031,50.06721115112305,42.252098083496094,56.84253692626953
D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\528f7ad4-282f-4efe-a3c8-6390e0bef59c___YLCV_NREC 0187.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,109.42333984375,104.24012756347656,96.25668334960938,38.983646392822266,33.64983367919922,39.739990234375
