bin_index,lower_bound,upper_bound,sample_count,bin_accuracy,mean_confidence,absolute_calibration_gap
1,0.0,0.1,0,,,
2,0.1,0.2,0,,,
3,0.2,0.30000000000000004,0,,,
4,0.30000000000000004,0.4,1,0.0,0.3774413964074486,0.3774413964074486
5,0.4,0.5,1,0.0,0.44066627903163147,0.44066627903163147
6,0.5,0.6000000000000001,3,0.0,0.5601488329108951,0.5601488329108951
7,0.6000000000000001,0.7000000000000001,4,0.0,0.6541116568489146,0.6541116568489146
8,0.7000000000000001,0.8,1,0.0,0.7139220111506402,0.7139220111506402
9,0.8,0.9,4,0.5,0.8563199508633417,0.3563199508633417
10,0.9,1.0,65,0.4307692307692308,0.985928743146932,0.5551595123777012
