true_class_index,true_class_name,predicted_class_index,predicted_class_name,error_count,mean_confidence,mean_true_probability,mean_prediction_margin,percent_of_all_errors
8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,6,0.9633389301424843,0.00031358930715446324,0.9287094248638864,0.12244897959183673
9,Tomato_healthy,2,Tomato_Late_blight,6,0.9128159376983134,0.0011038956186142457,0.8336726503988022,0.12244897959183673
7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,6,0.9037376334795595,0.03512287790108471,0.8393288934274006,0.12244897959183673
0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,6,0.8757295220809828,0.011436229689840193,0.7633958477843416,0.12244897959183673
4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,5,0.9772195935687764,0.02101407228113731,0.9562050599887353,0.10204081632653061
3,Tomato_Leaf_Mold,2,Tomato_Late_blight,3,0.8956351934982058,7.574065900405675e-06,0.791430931582145,0.061224489795918366
8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,3,0.659395852150975,0.00816396176616077,0.42966376198404416,0.061224489795918366
1,Tomato_Early_blight,2,Tomato_Late_blight,2,0.9923856901218833,0.00017448803340864858,0.9850326292793872,0.04081632653061224
3,Tomato_Leaf_Mold,1,Tomato_Early_blight,2,0.9321635996000068,0.008692694114153066,0.883255005455416,0.04081632653061224
0,Tomato_Bacterial_spot,2,Tomato_Late_blight,2,0.8362956583799035,0.0029366903897432447,0.6766787987232709,0.04081632653061224
2,Tomato_Late_blight,1,Tomato_Early_blight,1,0.9999956670561115,2.6153024697394906e-07,0.9999945023477201,0.02040816326530612
2,Tomato_Late_blight,3,Tomato_Leaf_Mold,1,0.9999935108148623,7.510446800676384e-07,0.9999917666924052,0.02040816326530612
0,Tomato_Bacterial_spot,1,Tomato_Early_blight,1,0.9999846227075826,1.3329342448938162e-06,0.9999782765562579,0.02040816326530612
1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,1,0.997334290696774,0.0020515467920817943,0.9952827439046923,0.02040816326530612
4,Tomato_Septoria_leaf_spot,0,Tomato_Bacterial_spot,1,0.9526237908950078,0.03732238362287387,0.9153014072721339,0.02040816326530612
9,Tomato_healthy,3,Tomato_Leaf_Mold,1,0.8600966453731153,8.308388618149046e-05,0.72075541793446,0.02040816326530612
8,Tomato__Tomato_mosaic_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,1,0.6243351284307564,0.0008926861598231162,0.3103416056716516,0.02040816326530612
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0,Tomato_Bacterial_spot,1,0.44066627903163147,0.0012954846920971137,0.18839260546494185,0.02040816326530612
