external_sample_id,relative_path,external_class_name,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,true_class_probability,second_best_probability,prediction_margin,entropy_nats,normalized_entropy,true_class_rank,predicted_absent_gt_class,error_pair,high_confidence,very_high_confidence,low_confidence,high_confidence_error,very_high_confidence_error,confidence_band
PD_EXT_0065,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_3.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,False,0.3774413964074486,0.0190647220855465,0.35348375709956026,0.023957639307888356,1.326544737538243,0.5761110595106564,4,False,Tomato__Tomato_mosaic_virus -> Tomato_Leaf_Mold,False,False,True,False,False,<50%
PD_EXT_0060,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_6_2.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0,Tomato_Bacterial_spot,False,0.44066627903163147,0.0012954846920971137,0.2522736735666896,0.18839260546494185,1.281175945781075,0.5564076435999006,8,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Bacterial_spot,False,False,True,False,False,<50%
PD_EXT_0059,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_6_1.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.5530862837483709,0.09480325927813807,0.26627373836222257,0.2868125453861483,1.210989455403276,0.5259260381246668,3,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Late_blight,False,False,True,False,False,50%-<70%
PD_EXT_0070,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_8.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,False,0.6243351284307564,0.0008926861598231162,0.31399352275910486,0.3103416056716516,0.9054171652071596,0.39321767866995433,7,False,Tomato__Tomato_mosaic_virus -> Tomato__Tomato_YellowLeaf__Curl_Virus,False,False,True,False,False,50%-<70%
PD_EXT_0071,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_9.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,False,0.6302501411782253,0.0047535224636716285,0.3099734710640428,0.3202766701141825,0.8979704498899007,0.3899836112993644,5,False,Tomato__Tomato_mosaic_virus -> Tomato_Leaf_Mold,False,False,True,False,False,50%-<70%
PD_EXT_0003,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_3.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.7139220111506402,0.06534288708074588,0.21658049140903607,0.4973415197416042,0.7799618827011495,0.33873314175198055,3,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,False,False,False,False,False,70%-<90%
PD_EXT_0078,test/Tomato_leaf/test_Tomato leaf_7.jpg,Tomato_leaf,9,Tomato_healthy,2,Tomato_Late_blight,False,0.5818392639302572,0.003566256028816029,0.4061929586977813,0.17564630523247587,0.7484794160813082,0.3250604802222802,4,False,Tomato_healthy -> Tomato_Late_blight,False,False,True,False,False,50%-<70%
PD_EXT_0004,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_4.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.5455209510540572,1.2185317926868033e-05,0.45363309128705226,0.09188785976700492,0.6957326401120124,0.30215284648062796,7,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,False,False,True,False,False,50%-<70%
PD_EXT_0006,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_6.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,False,0.6728060318668333,0.005684998451872889,0.3190453369856515,0.3537606948811818,0.6768379583227533,0.2939469904422349,3,False,Tomato_Bacterial_spot -> Tomato_Late_blight,False,False,True,False,False,50%-<70%
PD_EXT_0032,test/Tomato_mold_leaf/test_Tomato mold leaf_4.jpg,Tomato_mold_leaf,3,Tomato_Leaf_Mold,2,Tomato_Late_blight,False,0.6890553259198434,8.580482273602751e-06,0.3106269250833747,0.3784284008364687,0.622846207106654,0.2704986708207897,9,False,Tomato_Leaf_Mold -> Tomato_Late_blight,False,False,True,False,False,50%-<70%
PD_EXT_0058,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_5.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,True,0.8815004149165422,0.8815004149165422,0.04341868937689478,0.8380817255396474,0.5628696205568289,0.2444511702388079,1,False,CORRECT,False,False,False,False,False,70%-<90%
