external_sample_id,relative_path,external_class_name,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,true_class_probability,second_best_probability,prediction_margin,entropy_nats,normalized_entropy,true_class_rank,predicted_absent_gt_class,error_pair,high_confidence,very_high_confidence,low_confidence,high_confidence_error,very_high_confidence_error,confidence_band
PD_EXT_0011,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_2.jpg,Tomato_Early_blight_leaf,1,Tomato_Early_blight,2,Tomato_Late_blight,False,0.9999966355435148,1.0889966398775279e-06,1.0889966398775279e-06,0.999995546546875,5.217813878363667e-05,2.2660677749715457e-05,2,False,Tomato_Early_blight -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0023,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_4.jpg,Tomato_leaf_late_blight,2,Tomato_Late_blight,1,Tomato_Early_blight,False,0.9999956670561115,2.6153024697394906e-07,1.1647083913967967e-06,0.9999945023477201,6.630639179045121e-05,2.8796500069508036e-05,7,False,Tomato_Late_blight -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0020,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_10.jpg,Tomato_leaf_late_blight,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,False,0.9999935108148623,7.510446800676384e-07,1.7441224571449735e-06,0.9999917666924052,9.687168790918448e-05,4.2070839511612776e-05,5,False,Tomato_Late_blight -> Tomato_Leaf_Mold,True,True,False,True,True,>=95%
PD_EXT_0054,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_3_1.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.9999914553236794,4.711171367375316e-07,2.4831752896927796e-06,0.9999889721483897,0.0001244686218277981,5.405603562991535e-05,8,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0037,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_1_1.jpg,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,False,0.9999880961776799,4.199964295364983e-06,6.5064588146752405e-06,0.9999815897188652,0.00016003161471261746,6.950084719975701e-05,3,False,Tomato_Septoria_leaf_spot -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0005,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_5.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,1,Tomato_Early_blight,False,0.9999846227075826,1.3329342448938162e-06,6.346151324678717e-06,0.9999782765562579,0.00021021026795310578,9.129315941143781e-05,4,False,Tomato_Bacterial_spot -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0034,test/Tomato_mold_leaf/test_Tomato mold leaf_6.jpg,Tomato_mold_leaf,3,Tomato_Leaf_Mold,2,Tomato_Late_blight,False,0.9999772494498487,1.9224742472447757e-06,1.1517929336451354e-05,0.9999657315205123,0.00030250260551145354,0.00013137521233498047,4,False,Tomato_Leaf_Mold -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0038,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_1_2.jpg,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,False,0.9999760886793735,1.905822914012944e-05,1.905822914012944e-05,0.9999570304502333,0.000298725666150634,0.00012973490841209335,2,False,Tomato_Septoria_leaf_spot -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0007,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_7.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9999618942352626,4.6360795159327716e-07,2.5942513434950697e-05,0.9999359517218277,0.0004733404769259147,0.00020556915719037824,10,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0075,test/Tomato_leaf/test_Tomato leaf_4.jpg,Tomato_leaf,9,Tomato_healthy,2,Tomato_Late_blight,False,0.9999504526990735,5.027207172964778e-07,2.3096777214448128e-05,0.999927355921859,0.0006103275420972542,0.0002650618836864121,8,False,Tomato_healthy -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0072,test/Tomato_leaf/test_Tomato leaf_1.jpg,Tomato_leaf,9,Tomato_healthy,2,Tomato_Late_blight,False,0.9999426241043486,3.910257743692213e-06,2.651823562669182e-05,0.9999161058687219,0.0007157914746067505,0.00031086428761510333,6,False,Tomato_healthy -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0035,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_10.jpg,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,False,0.9999232491480858,6.756198183620191e-05,6.756198183620191e-05,0.9998556871662496,0.0008475003752330429,0.00036806473637464586,2,False,Tomato_Septoria_leaf_spot -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0008,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_8.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.999909456834755,1.315292552900474e-06,8.536681457086449e-05,0.9998240900201841,0.0009629358149911524,0.00041819771087766807,4,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0002,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_2.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,False,0.9997852848929736,0.00018838232761360005,0.00018838232761360005,0.9995969025653599,0.00215173990903776,0.0009344887689861042,2,False,Tomato_Bacterial_spot -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0001,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_1.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9995758244866828,9.92720432414953e-07,0.0004176196363211976,0.9991582048503617,0.003764069500846551,0.0016347146137179844,5,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
