split,external_class_name,filename,relative_path,extension,file_size_bytes,width,height,mode,detected_format,sha256,verify_pass,load_pass,valid_dimensions,integrity_status,error
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_1.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_1.jpg,.jpg,347204,1300,1359,RGB,JPEG,283b4d969c7c2d557e61b7e865eaae86083e9e1dee0282585b4472b7b8829c1c,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_10.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_10.jpg,.jpg,39305,300,225,RGB,JPEG,17af9b933a654e3c28adc7846816eac9a876183638fba8a86f339bfef2505f42,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_11.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_11.jpg,.jpg,127099,900,675,RGB,JPEG,060e4aba444e9cc4fce4c102254449ab482bf289d20ee110cd5f6b49b8d5d92c,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_12.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_12.jpg,.jpg,37835,450,325,RGB,JPEG,b54f3a6a6ce36dfc6fb2d8530c7c7a754bb61226482733cd04248e3753db6762,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_13.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_13.jpg,.jpg,212211,500,334,RGB,JPEG,a168b286abf0da7a41ee9a997bc1ae4f03e07b4dec1f2d15b720488641629064,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_14.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_14.jpg,.jpg,371018,1200,900,RGB,JPEG,7d0a6ab650c699b2b91d062b22d66957c249c86361fe9e90efbda06eff3c61fe,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_15.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_15.jpg,.jpg,20804,600,400,RGB,JPEG,3ca87b4295d2a7e082c988deb76e33b2a6f88c7f5e28c7810b39ef940b4ba3c5,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_16.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_16.jpg,.jpg,4717116,3872,2592,RGB,JPEG,65a9d96aa54416a84aef29d40e6b1904d6296f27c39685dbd510223df828ff52,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_17.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_17.jpg,.jpg,35581,567,393,RGB,JPEG,b7ac78d7589165e470a569e7a383325e5d8f204c50d615382dc180663ddebbdb,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_18.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_18.jpg,.jpg,46175,499,332,RGB,JPEG,fd239bf6835b671660a8f6c01f19e977348f741ec605be9ed2ad5d08340729fe,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_19.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_19.jpg,.jpg,96366,1063,734,RGB,JPEG,762de2450aca6ac346d242404351d7c30f8e7e1be9574c09cd83e1323cf2665d,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_2.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_2.jpg,.jpg,42921,419,284,RGB,JPEG,23ed3c9f53f619a48c313ff93e456fe24bac94c5f64f62a5df0747e244f9acfc,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_20.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_20.jpg,.jpg,47728,550,384,RGB,JPEG,451d83c709fcbab2f641e27b6cd6315d9bb869cf94210cfcd4e085f5ec399c88,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_21.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_21.jpg,.jpg,29902,330,219,RGB,JPEG,9d371a6c63fb291698ee47aa1c65fb0d2abb751b44df44db1c7570bc3f7a1f05,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_22.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_22.jpg,.jpg,38069,567,393,RGB,JPEG,64f828f8665c1884762025bba8feeaa41ef5c87651ace0cdb821e7f1981419cd,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_23.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_23.jpg,.jpg,117300,640,433,RGB,JPEG,842ea84ed99308608449bbae66957a7115a30988be1518afe4c253f2897913ac,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_24.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_24.jpg,.jpg,60276,450,575,RGB,JPEG,6c18b60079c57eaa5e1feddb4a11a1c7d9487ba083d81eaa66232f3b62c79d8c,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_25.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_25.jpg,.jpg,2267364,2978,2091,RGB,JPEG,912ce20afc0cc92d8a3a49bd4f708c5f6c49df69788aad15938b388c5d949d23,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_26.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_26.jpg,.jpg,102109,600,538,RGB,JPEG,7505693ef3824fdce797b20937e8861f0bf5462273d6a4b9b05c4782f2cd136d,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_27.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_27.jpg,.jpg,177194,1083,1390,RGB,JPEG,cc438f6eb618d7470cd622e40b6dd423e5242165c1ea0e130a04f15ed18347d3,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_28.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_28.jpg,.jpg,8017,150,150,RGB,JPEG,4b602165b3be41fa2a30ed47b89ba746f1f56f11093128c615623247d7f60d81,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_29.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_29.jpg,.jpg,127625,847,574,RGB,JPEG,981da629d2a419a303eea0e707d0a07f86fc6ce9d802bdc77e1c3efb25ff2ee8,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_3.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_3.jpg,.jpg,54106,800,511,RGB,JPEG,c1f5d68c2bc5aaf510a4bec559182542013b7ca1acc253dd5881a2fd5c1db1d0,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_30.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_30.jpg,.jpg,74131,300,343,RGB,JPEG,782699cc0102a7968cb21108a8b7e53cb3de98aabfdc522c110ff9711d32a61b,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_31.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_31.jpg,.jpg,942649,2160,1440,RGB,JPEG,a873676f4c845584dce10f5fb173c5ebbf2c6eee203b323c23c4768b63c83919,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_32.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_32.jpg,.jpg,110859,465,700,RGB,JPEG,3152eb37a0a7f6e9b89d75f8bcef5d1dfe8306631fa4080a00fb0a0cd3ad05da,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_33.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_33.jpg,.jpg,123664,800,600,RGB,JPEG,e6893f4af1ef2017d83bb63b027397b20d3d519592db2a46777b09d942786275,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_34.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_34.jpg,.jpg,21358,275,206,RGB,JPEG,83b860dc08a903eff86762037ba6c423b23636468cdeb7d7dff8563ef20290d6,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_35.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_35.jpg,.jpg,43343,300,300,RGB,JPEG,c280edc30e7bd848018d847e8d4111913799cf3042ce7e33de99c78cff5879f2,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_36.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_36.jpg,.jpg,265403,800,600,RGB,JPEG,7a4acf69b4c2e40021ae5c225a9e82b7a4d0a19977401033cff9c57771d3b439,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_37.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_37.jpg,.jpg,132296,500,333,RGB,JPEG,45dab4e9080842d38f03634bd6fc2c5eb0cb43a1fe59d3e2823ecebd38f13a98,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_38.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_38.jpg,.jpg,405270,1200,1600,RGB,JPEG,a35b35f65bb3dbec1983a7be92c05ca51eec0ffa5e5bd46d542cb90565a4402d,True,True,True,VALID,
