split,external_class_name,image_count,extensions,folder_path
train,Tomato_Early_blight_leaf,79,.jpg:79,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_Early_blight_leaf
train,Tomato_leaf,44,.jpg:44,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_leaf
train,Tomato_leaf_bacterial_spot,101,.jpg:101,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_leaf_bacterial_spot
train,Tomato_leaf_late_blight,101,.jpg:101,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_leaf_late_blight
train,Tomato_leaf_mosaic_virus,44,.jpg:44,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_leaf_mosaic_virus
train,Tomato_leaf_yellow_virus,223,.jpg:223,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_leaf_yellow_virus
train,Tomato_mold_leaf,85,.jpg:85,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_mold_leaf
train,Tomato_Septoria_leaf_spot,145,.jpg:145,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_Septoria_leaf_spot
train,Tomato_two_spotted_spider_mites_leaf,2,.jpg:2,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\train\Tomato_two_spotted_spider_mites_leaf
test,Tomato_Early_blight_leaf,9,.jpg:9,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf
test,Tomato_leaf,8,.jpg:8,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf
test,Tomato_leaf_bacterial_spot,9,.jpg:9,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot
test,Tomato_leaf_late_blight,10,.jpg:10,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight
test,Tomato_leaf_mosaic_virus,10,.jpg:10,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_mosaic_virus
test,Tomato_leaf_yellow_virus,15,.jpg:15,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_yellow_virus
test,Tomato_mold_leaf,6,.jpg:6,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_mold_leaf
test,Tomato_Septoria_leaf_spot,12,.jpg:12,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Septoria_leaf_spot
