,Pred_Tomato_Bacterial_spot,Pred_Tomato_Early_blight,Pred_Tomato_Late_blight,Pred_Tomato_Leaf_Mold,Pred_Tomato_Septoria_leaf_spot,Pred_Tomato_Spider_mites_Two_spotted_spider_mite,Pred_Tomato__Target_Spot,Pred_Tomato__Tomato_YellowLeaf__Curl_Virus,Pred_Tomato__Tomato_mosaic_virus,Pred_Tomato_healthy
True_Tomato_Bacterial_spot,0,1,2,0,6,0,0,0,0,0
True_Tomato_Early_blight,0,6,2,0,1,0,0,0,0,0
True_Tomato_Late_blight,0,1,8,1,0,0,0,0,0,0
True_Tomato_Leaf_Mold,0,2,3,1,0,0,0,0,0,0
True_Tomato_Septoria_leaf_spot,1,5,0,0,6,0,0,0,0,0
True_Tomato_Spider_mites_Two_spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
True_Tomato__Target_Spot,0,0,0,0,0,0,0,0,0,0
True_Tomato__Tomato_YellowLeaf__Curl_Virus,1,0,6,0,0,0,0,8,0,0
True_Tomato__Tomato_mosaic_virus,0,0,6,3,0,0,0,1,0,0
True_Tomato_healthy,0,0,6,1,0,0,0,0,0,1
