,Pred_Tomato_Bacterial_spot,Pred_Tomato_Early_blight,Pred_Tomato_Late_blight,Pred_Tomato_Leaf_Mold,Pred_Tomato_Septoria_leaf_spot,Pred_Tomato_Spider_mites_Two_spotted_spider_mite,Pred_Tomato__Target_Spot,Pred_Tomato__Tomato_YellowLeaf__Curl_Virus,Pred_Tomato__Tomato_mosaic_virus,Pred_Tomato_healthy
True_Tomato_Bacterial_spot,0.0,0.1111111111111111,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
True_Tomato_Early_blight,0.0,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
True_Tomato_Late_blight,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
True_Tomato_Leaf_Mold,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
True_Tomato_Septoria_leaf_spot,0.08333333333333333,0.4166666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
True_Tomato_Spider_mites_Two_spotted_spider_mite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True_Tomato__Target_Spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True_Tomato__Tomato_YellowLeaf__Curl_Virus,0.06666666666666667,0.0,0.4,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0
True_Tomato__Tomato_mosaic_virus,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.1,0.0,0.0
True_Tomato_healthy,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.125
