class,train,validation,test,train_ratio,validation_ratio,test_ratio
Tomato_Bacterial_spot,1489,319,319,0.7000470145745181,0.14997649271274094,0.14997649271274094
Tomato_Early_blight,700,150,150,0.7,0.15,0.15
Tomato_Late_blight,1331,285,285,0.7001578116780641,0.1499210941609679,0.1499210941609679
Tomato_Leaf_Mold,666,143,143,0.6995798319327731,0.15021008403361344,0.15021008403361344
Tomato_Septoria_leaf_spot,1240,265,266,0.7001693958215698,0.14963297571993225,0.15019762845849802
Tomato_Spider_mites_Two_spotted_spider_mite,1174,251,251,0.7004773269689738,0.14976133651551313,0.14976133651551313
Tomato__Target_Spot,983,211,210,0.7001424501424501,0.1502849002849003,0.14957264957264957
Tomato__Tomato_YellowLeaf__Curl_Virus,2246,481,481,0.7001246882793017,0.14993765586034913,0.14993765586034913
Tomato__Tomato_mosaic_virus,261,56,56,0.6997319034852547,0.15013404825737264,0.15013404825737264
Tomato_healthy,1109,238,238,0.6996845425867508,0.1501577287066246,0.1501577287066246
