near_duplicate_group,image_id,relative_path,class,md5_hash,phash,split
NDG_000417,PV_06c7c0d3a6c16070,Tomato_Bacterial_spot/5d1f3889-f029-4ebd-834d-9e39d775b070___GCREC_Bact.Sp 5996.JPG,Tomato_Bacterial_spot,06c7c0d3a6c16070e1c6b0c5f9fc6bf4,aeb4d24b856d986c,train
NDG_000417,PV_42c081f09086964e,Tomato__Tomato_YellowLeaf__Curl_Virus/6c74c99f-0377-4870-ac98-c1ad619d8a7a___YLCV_GCREC 2623.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,42c081f09086964e0670d56bf4dfbf45,adb4d24b8d6d9864,train
NDG_001228,PV_633718b132649609,Tomato_Septoria_leaf_spot/648d66b5-7f12-4baa-beba-4938ede59013___JR_Sept.L.S 2625.JPG,Tomato_Septoria_leaf_spot,633718b1326496092454db16d81a0321,e9e1851e827a971b,train
NDG_001228,PV_13f2e16f053d44ee,Tomato_Spider_mites_Two_spotted_spider_mite/646aa524-ba89-4228-bd91-16d693ff1283___Com.G_SpM_FL 8835.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,13f2e16f053d44eea44118471fd4e517,e8e1851e8a7a9739,train
NDG_003329,PV_eddf732b41a59e6f,Tomato_Leaf_Mold/fcfc6758-32cd-4e18-8d56-e3ffde988921___Crnl_L.Mold 6591.JPG,Tomato_Leaf_Mold,eddf732b41a59e6f1475c3bfff14fe3d,afe4d00bcb3d0cf0,test
NDG_003329,PV_35bee4f699b7c0ea,Tomato_Spider_mites_Two_spotted_spider_mite/20f78207-e650-4e62-8648-f660f5f1eea9___Com.G_SpM_FL 9340.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,35bee4f699b7c0eaafce7f4b2d58c530,bee4d00bcb3c4cf0,test
NDG_005208,PV_5caebeaf6bd439b4,Tomato_Spider_mites_Two_spotted_spider_mite/db678f0b-cd38-408c-9029-33296dcd568d___Com.G_SpM_FL 8522.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,5caebeaf6bd439b41621af6c0809967f,af72d04b836f9234,train
NDG_005208,PV_5401aef6af40f4f5,Tomato__Target_Spot/1dcaf64c-19e6-4854-8d99-53c30dbefcef___Com.G_TgS_FL 0999.JPG,Tomato__Target_Spot,5401aef6af40f4f59104abc43b13f70f,ad72d043976f9234,train
NDG_006186,PV_62db39dc402d7333,Tomato_Spider_mites_Two_spotted_spider_mite/01963a97-0507-43a6-ae4a-1afd8e0c4f3e___Com.G_SpM_FL 1217.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,62db39dc402d7333e7cd47cc6bfaf2a3,b4f2c38d8dcc8c99,validation
NDG_006186,PV_e7c9fb26c2ef42f5,Tomato__Target_Spot/f01a8609-e4be-4450-a889-509ca769c227___Com.G_TgS_FL 9708.JPG,Tomato__Target_Spot,e7c9fb26c2ef42f584b44df394326c7e,b4d2c38f8dcc8c9c,validation
NDG_009850,PV_fd0b1e08b5aac7bb,Tomato_Leaf_Mold/d90f334c-18c3-4b20-903e-e51f57d8704d___Crnl_L.Mold 6935.JPG,Tomato_Leaf_Mold,fd0b1e08b5aac7bb0f0aad4d860ed8da,fec2973c8136e40d,train
NDG_009850,PV_9efe39c91f2265ca,Tomato_Septoria_leaf_spot/d6513bff-a877-4482-88d0-699396af3862___JR_Sept.L.S 8419.JPG,Tomato_Septoria_leaf_spot,9efe39c91f2265ca26d4249acf0c93c7,fec2973cb126c40d,train
