near_duplicate_group,group_size,class_count,unique_phashes,split
NDG_000148,2,1,2,validation
NDG_000417,2,2,2,train
NDG_000585,2,1,2,validation
NDG_000593,2,1,2,test
NDG_001228,2,2,2,train
NDG_001537,2,1,2,train
NDG_001547,2,1,2,train
NDG_001778,2,1,2,train
NDG_001973,2,1,2,train
NDG_002278,2,1,2,train
NDG_002335,2,1,2,test
NDG_003249,2,1,2,validation
NDG_003309,2,1,2,train
NDG_003329,2,2,2,test
NDG_004407,2,1,2,test
NDG_004666,2,1,2,train
NDG_005208,2,2,2,train
NDG_005387,2,1,2,train
NDG_006186,2,2,2,validation
NDG_006201,2,1,2,validation
NDG_006238,2,1,2,train
NDG_006289,2,1,2,validation
NDG_006752,2,1,2,train
NDG_007141,2,1,2,validation
NDG_007300,2,1,2,train
NDG_009687,2,1,2,train
NDG_009761,2,1,2,test
NDG_009847,2,1,2,train
NDG_009850,2,2,2,train
NDG_009854,2,1,2,train
NDG_010635,2,1,2,train
NDG_011419,2,1,2,train
NDG_011834,2,1,2,test
NDG_012410,2,1,2,train
