near_duplicate_group,image_id,relative_path,class,md5_hash,phash,group_size,class_count,split
NDG_000148,PV_0256cf7eba667651,Tomato_Spider_mites_Two_spotted_spider_mite/a75666ed-91d1-4f47-bcf2-554c8a5a3fd5___Com.G_SpM_FL 9551.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,0256cf7eba667651b0e84ae39d12e94f,e116ce699c69926d,2,1,validation
NDG_000148,PV_4a85b00c3394f9a5,Tomato_Spider_mites_Two_spotted_spider_mite/f7b7b4c8-1420-4ffe-ba64-97be026edeb4___Com.G_SpM_FL 8978.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,4a85b00c3394f9a5f4890510015afb70,e116ce69946d926d,2,1,validation
NDG_000417,PV_06c7c0d3a6c16070,Tomato_Bacterial_spot/5d1f3889-f029-4ebd-834d-9e39d775b070___GCREC_Bact.Sp 5996.JPG,Tomato_Bacterial_spot,06c7c0d3a6c16070e1c6b0c5f9fc6bf4,aeb4d24b856d986c,2,2,train
NDG_000417,PV_42c081f09086964e,Tomato__Tomato_YellowLeaf__Curl_Virus/6c74c99f-0377-4870-ac98-c1ad619d8a7a___YLCV_GCREC 2623.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,42c081f09086964e0670d56bf4dfbf45,adb4d24b8d6d9864,2,2,train
NDG_000585,PV_09892ed81064a906,Tomato__Tomato_YellowLeaf__Curl_Virus/68f8c73f-8682-424b-bb43-9d505c64423f___UF.GRC_YLCV_Lab 08438.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,09892ed81064a906476c76a167e2eaa2,9e337067676e4c0c,2,1,validation
NDG_000585,PV_9e1d829df047a516,Tomato__Tomato_YellowLeaf__Curl_Virus/8a92e970-1eb5-43f1-852e-2778ddde1503___UF.GRC_YLCV_Lab 08437.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,9e1d829df047a516508a23ff646fb95c,8f337063676f4c0c,2,1,validation
NDG_000593,PV_1f65ecaa71182e00,Tomato_Bacterial_spot/741e2f09-1b62-42c2-b218-6504d57c0f27___GCREC_Bact.Sp 3302.JPG,Tomato_Bacterial_spot,1f65ecaa71182e00703bbddbe49ba4a9,eae5841e9ab84bb1,2,1,test
NDG_000593,PV_09a461192a8e0965,Tomato_Bacterial_spot/e2286f6d-1e30-4528-ab51-84c18a16b7e1___GCREC_Bact.Sp 3503.JPG,Tomato_Bacterial_spot,09a461192a8e09659e774b54c6b091f8,eae5841e92f80bb3,2,1,test
NDG_001228,PV_633718b132649609,Tomato_Septoria_leaf_spot/648d66b5-7f12-4baa-beba-4938ede59013___JR_Sept.L.S 2625.JPG,Tomato_Septoria_leaf_spot,633718b1326496092454db16d81a0321,e9e1851e827a971b,2,2,train
NDG_001228,PV_13f2e16f053d44ee,Tomato_Spider_mites_Two_spotted_spider_mite/646aa524-ba89-4228-bd91-16d693ff1283___Com.G_SpM_FL 8835.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,13f2e16f053d44eea44118471fd4e517,e8e1851e8a7a9739,2,2,train
