class,train,validation,test,train_percentage,validation_percentage,test_percentage
Tomato_Bacterial_spot,1489,319,319,70.00470145745182,14.997649271274094,14.997649271274094
Tomato_Early_blight,700,150,150,70.0,15.0,15.0
Tomato_Late_blight,1331,285,285,70.01578116780641,14.992109416096792,14.992109416096792
Tomato_Leaf_Mold,666,143,143,69.9579831932773,15.021008403361344,15.021008403361344
Tomato_Septoria_leaf_spot,1240,265,266,70.01693958215698,14.963297571993225,15.019762845849801
Tomato_Spider_mites_Two_spotted_spider_mite,1174,251,251,70.04773269689738,14.976133651551313,14.976133651551313
Tomato__Target_Spot,983,211,210,70.01424501424502,15.02849002849003,14.957264957264957
Tomato__Tomato_YellowLeaf__Curl_Virus,2246,481,481,70.01246882793018,14.993765586034913,14.993765586034913
Tomato__Tomato_mosaic_virus,261,56,56,69.97319034852548,15.013404825737265,15.013404825737265
Tomato_healthy,1109,238,238,69.96845425867508,15.015772870662461,15.015772870662461
