epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.5149880841898978,86.65952317171175,0.048084884698348596,98.70779491454773,0.0001,0.0001,348,2,16384.0,1618.0,84.47988310000073,True
2,0.06728406961135255,98.10697383694973,0.02199946870033914,99.33305543976657,0.0001,0.0001,350,0,16384.0,1618.0,74.25748609999937,True
3,0.03587570676079607,98.928475756764,0.023098039497780914,99.24968736973739,0.0001,0.0001,349,1,8192.0,1618.0,75.38660300000265,False
4,0.025050326791457304,99.10706313063666,0.017869595489449656,99.54147561483951,0.0001,0.0001,349,1,4096.0,1618.0,74.7303789999969,True
5,0.01616882972391985,99.55353156531834,0.02045723829440282,99.33305543976657,0.0001,0.0001,350,0,4096.0,1618.0,73.47407979999844,False
6,0.01407984037775387,99.58031967139924,0.015370967488526352,99.49979157982493,0.0001,0.0001,350,0,4096.0,1618.0,74.42997299999843,True
7,0.010830267304572877,99.66961335833557,0.020175320747368098,99.49979157982493,0.0001,0.0001,350,0,4096.0,1618.0,74.80678379999881,False
8,0.009211656429004601,99.732118939191,0.020362177358263976,99.6248436848687,0.0001,0.0001,350,0,4096.0,1618.0,74.4636002000043,False
9,0.0048655823561752866,99.8392713635146,0.020816323458000024,99.49979157982493,0.0001,5e-05,350,0,4096.0,1618.0,74.92173560000083,False
10,0.007770664139001023,99.66961335833557,0.029122277566323757,99.45810754481033,5e-05,5e-05,350,0,8192.0,1618.0,74.44949139999517,False
11,0.0035148689029273227,99.88391820698277,0.020725740497934925,99.5831596498541,5e-05,5e-05,350,0,8192.0,1618.0,75.46800979999534,False
12,0.0026607984772363848,99.91070631306367,0.019559686956126796,99.66652771988328,5e-05,2.5e-05,350,0,8192.0,1618.0,75.48908610000217,False
13,0.0028509001871668245,99.90177694437004,0.012466827945542646,99.74989578991247,2.5e-05,2.5e-05,350,0,8192.0,1618.0,75.01865289999841,True
14,0.003671272587190868,99.90177694437004,0.012484289646744787,99.74989578991247,2.5e-05,2.5e-05,350,0,8192.0,1618.0,74.84030999999959,False
15,0.0020465332010543135,99.9464237878382,0.01331541189406291,99.74989578991247,2.5e-05,2.5e-05,350,0,8192.0,1618.0,74.29363639999792,False
16,0.0025255951628891916,99.9732118939191,0.014261043732639823,99.66652771988328,2.5e-05,1.25e-05,350,0,16384.0,1618.0,73.89656249999825,False
17,0.0016711050723846258,99.96428252522547,0.014116496332191825,99.70821175489787,1.25e-05,1.25e-05,349,1,8192.0,1618.0,73.89709559999756,False
18,0.0018275964471877618,99.95535315653183,0.015534150098550574,99.66652771988328,1.25e-05,1.25e-05,350,0,8192.0,1618.0,75.07043410000188,False
19,0.001613995956310869,99.9464237878382,0.01675980540303893,99.6248436848687,1.25e-05,6.25e-06,350,0,8192.0,1618.0,75.53887599999871,False
20,0.000768013921892931,99.99107063130637,0.01495651003219975,99.70821175489787,6.25e-06,6.25e-06,350,0,8192.0,1618.0,74.8464554999955,False
