epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.39991045258846125,87.97214036967587,0.04895266670680894,98.58274280950397,0.0001,0.0001,350,0,65536.0,1576.0,152.57017020000058,True
2,0.09135935980973313,97.23189570497365,0.041995920455111885,98.87453105460608,0.0001,0.0001,350,0,65536.0,1576.0,150.31505099999777,True
3,0.05474805957782012,98.33020805429055,0.038525884029248614,98.74947894956232,0.0001,0.0001,350,0,65536.0,1576.0,151.0049171999999,True
4,0.027312445678418954,99.15170997410483,0.021895843577797128,99.49979157982493,0.0001,0.0001,350,0,65536.0,1576.0,150.27159749999555,True
5,0.022319449602595246,99.28565050450932,0.027061123855933254,99.2080033347228,0.0001,0.0001,350,0,65536.0,1576.0,154.7942533000023,False
6,0.017639197117756047,99.44637914099474,0.0466976400811241,98.95789912463526,0.0001,0.0001,349,1,65536.0,1576.0,151.10984749999625,False
7,0.023409107357524547,99.34815608536476,0.034641138858328355,99.04126719466444,0.0001,5e-05,350,0,65536.0,1576.0,153.4162451000011,False
8,0.008283165096305228,99.74997767657825,0.02146404825085728,99.5831596498541,5e-05,5e-05,350,0,65536.0,1576.0,154.4027814000001,True
9,0.0023485570733518674,99.93749441914457,0.02074417182434045,99.5831596498541,5e-05,5e-05,350,0,65536.0,1576.0,153.5681401999973,True
10,0.003501558572015489,99.90177694437004,0.014199403486139201,99.6248436848687,5e-05,5e-05,350,0,65536.0,1576.0,152.056654299995,True
11,0.0040920842959512515,99.85713010090187,0.01580204631746775,99.66652771988328,5e-05,5e-05,349,1,32768.0,1576.0,150.38094529999944,False
12,0.0029020324670105554,99.90177694437004,0.01731283518610663,99.66652771988328,5e-05,5e-05,350,0,32768.0,1576.0,150.93197910000163,False
13,0.0031928809973233215,99.9196356817573,0.03509092246457733,99.45810754481033,5e-05,2.5e-05,350,0,32768.0,1576.0,151.7331129000013,False
14,0.0012422687763205746,99.95535315653183,0.018347968256141177,99.6248436848687,2.5e-05,2.5e-05,350,0,32768.0,1576.0,149.72690529999818,False
15,0.0012703474445823365,99.9464237878382,0.01749994800507354,99.70821175489787,2.5e-05,2.5e-05,350,0,32768.0,1576.0,150.41375849999895,False
16,0.0013996074855140775,99.9732118939191,0.017721351209705166,99.5831596498541,2.5e-05,1.25e-05,350,0,65536.0,1576.0,150.17340749999858,False
17,0.00017435629033705688,100.0,0.017137106580998325,99.70821175489787,1.25e-05,1.25e-05,350,0,65536.0,1576.0,149.9739195000002,False
