epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.43743918242079516,87.25779087418519,0.043891855655975635,98.74947894956232,0.0001,0.0001,349,1,32768.0,1910.0,97.24519720000171,True
2,0.05115583446660631,98.45521921600144,0.024395015300351024,99.24968736973739,0.0001,0.0001,349,1,16384.0,1910.0,99.49094930000138,True
3,0.03278501603893084,99.10706313063666,0.06015518537504207,98.4160066694456,0.0001,0.0001,350,0,16384.0,1910.0,99.41623960000288,False
4,0.02001697193875572,99.41066166622021,0.023683572471395402,99.45810754481033,0.0001,0.0001,350,0,16384.0,1910.0,99.83199959999911,True
5,0.014139270248608895,99.6517546209483,0.013767754350824777,99.5831596498541,0.0001,0.0001,350,0,16384.0,1910.0,99.43268739999985,True
6,0.012341850825046291,99.61603714617377,0.029804195598442978,99.12463526469362,0.0001,0.0001,350,0,16384.0,1910.0,99.06255779999992,False
7,0.012055400801898096,99.60710777748012,0.027026277226476058,99.24968736973739,0.0001,0.0001,350,0,16384.0,1910.0,99.36678640000173,False
8,0.00999366797467557,99.64282525225467,0.03656281829625702,99.16631929970822,0.0001,5e-05,350,0,32768.0,1910.0,100.40127650000068,False
9,0.0033728075576807052,99.87498883828914,0.01773635125647106,99.6248436848687,5e-05,5e-05,350,0,32768.0,1910.0,99.6165828000012,False
10,0.002155249060683427,99.90177694437004,0.009895571274975081,99.79157982492706,5e-05,5e-05,350,0,32768.0,1910.0,100.78339109999797,True
11,0.0008691954119186687,99.98214126261273,0.009320408764259082,99.79157982492706,5e-05,5e-05,350,0,32768.0,1910.0,98.9473347000021,True
12,0.0016735112606409309,99.95535315653183,0.017116005244778954,99.5831596498541,5e-05,5e-05,350,0,32768.0,1910.0,99.0687233000026,False
13,0.001308160133027648,99.96428252522547,0.01493731157237772,99.70821175489787,5e-05,5e-05,350,0,32768.0,1910.0,100.71895029999723,False
14,0.0019235481843143168,99.9464237878382,0.02334620411965474,99.49979157982493,5e-05,2.5e-05,350,0,65536.0,1910.0,101.57385309999881,False
15,0.00034156861353139425,100.0,0.012071871270532726,99.74989578991247,2.5e-05,2.5e-05,350,0,65536.0,1910.0,101.51472779999676,False
16,0.00044324259873286016,99.98214126261273,0.01297564425037151,99.74989578991247,2.5e-05,2.5e-05,350,0,65536.0,1910.0,99.7133653000019,False
17,0.00016489886036914989,100.0,0.01206261538226952,99.5831596498541,2.5e-05,1.25e-05,350,0,65536.0,1910.0,99.23392719999902,False
18,0.0002470739356771704,99.99107063130637,0.011899150873830706,99.70821175489787,1.25e-05,1.25e-05,350,0,65536.0,1910.0,98.95763149999766,False
