epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.45263379682575616,85.5969282971694,0.1289405165835687,96.08170070862859,0.0001,0.0001,349,1,32768.0,3742.0,188.69706649999716,True
2,0.15840780243237798,95.56210375926422,0.09992592232383356,97.20716965402251,0.0001,0.0001,349,1,16384.0,3742.0,188.1806385000018,True
3,0.10066731952191336,97.32118939191,0.12846795873574385,96.7903293038766,0.0001,0.0001,350,0,16384.0,3742.0,187.24145500000304,False
4,0.07710521524959348,98.20519689257969,0.07890284707418078,98.54105877448937,0.0001,0.0001,350,0,16384.0,3742.0,186.87453219999588,True
5,0.05925007737825062,98.78560585766586,0.08246511238324093,97.9574822842851,0.0001,0.0001,350,0,16384.0,3742.0,186.94877540000016,False
6,0.04677088142069403,99.09813376194303,0.14687755233101568,97.9574822842851,0.0001,0.0001,350,0,16384.0,3742.0,187.04129180000018,False
7,0.04778073325573833,98.88382891329583,0.06639135336069704,98.58274280950397,0.0001,0.0001,350,0,16384.0,3742.0,187.68621600000188,True
8,0.04772233375428775,99.0892043932494,0.05155099352581792,98.95789912463526,0.0001,0.0001,350,0,32768.0,3742.0,187.53576999999495,True
9,0.038427616609522396,99.25886239842842,0.12397457177860631,97.99916631929972,0.0001,0.0001,349,1,16384.0,3742.0,185.92485920000036,False
10,0.04648364013897071,99.08027502455576,0.1350653579007491,97.20716965402251,0.0001,0.0001,350,0,16384.0,3742.0,186.21302599999763,False
11,0.05190939823397889,99.12492186802393,0.09280902428048608,98.62442684451855,0.0001,5e-05,350,0,16384.0,3742.0,186.5797875999997,False
12,0.010797903626952302,99.93749441914457,0.06302794663793797,99.16631929970822,5e-05,5e-05,350,0,16384.0,3742.0,186.77765790000558,False
13,2.8717484854403486e-05,100.0,0.06887933029239997,99.08295122967903,5e-05,5e-05,350,0,16384.0,3742.0,185.68053170000348,False
14,0.004194117676031272,99.90177694437004,0.07130170887139699,99.16631929970822,5e-05,2.5e-05,350,0,32768.0,3742.0,186.31376559999626,False
15,0.0022737681413295065,99.9732118939191,0.06308912073090057,99.29137140475198,2.5e-05,2.5e-05,350,0,32768.0,3742.0,186.51505380000162,False
