epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.3295400001091016,90.89204393249398,0.09621832404538395,96.66527719883284,0.0001,0.0001,347,3,8192.0,1556.0,151.65780329999689,True
2,0.06133212476823399,98.21412626127332,0.06150846801339087,98.20758649437266,0.0001,0.0001,350,0,8192.0,1556.0,152.7564565000066,True
3,0.03843207066972524,98.86597017590857,0.10377450146333467,97.70737807419758,0.0001,0.0001,348,2,2048.0,1556.0,152.5246202999988,False
4,0.03477787621644579,98.97312260023216,0.017976870930286045,99.5831596498541,0.0001,0.0001,350,0,2048.0,1556.0,152.62728719999723,True
5,0.02455263776698411,99.41066166622021,0.05306417164875943,98.49937473947477,0.0001,0.0001,350,0,2048.0,1556.0,153.7198430999997,False
6,0.02843753125641161,99.32136797928386,0.07407652959070153,98.37432263443101,0.0001,0.0001,350,0,2048.0,1556.0,158.94577339999523,False
7,0.022509664180080442,99.45530850968836,0.039022987412509876,99.33305543976657,0.0001,5e-05,350,0,2048.0,1556.0,153.405030599999,False
8,0.011572583274928076,99.74104830788463,0.015302992701963216,99.70821175489787,5e-05,5e-05,350,0,2048.0,1556.0,153.56796069999837,True
9,0.004239812257496096,99.8660594695955,0.010887605739464706,99.5831596498541,5e-05,5e-05,350,0,4096.0,1556.0,153.03476089999458,True
10,0.006000245019899344,99.88391820698277,0.006770567876096119,99.79157982492706,5e-05,5e-05,350,0,4096.0,1556.0,153.06585259999702,True
11,0.0038133277092085786,99.87498883828914,0.00900111257061565,99.74989578991247,5e-05,5e-05,350,0,4096.0,1556.0,152.61377789999824,False
12,0.004653407948310518,99.87498883828914,0.01652382760804297,99.6248436848687,5e-05,5e-05,350,0,4096.0,1556.0,153.07346810000308,False
13,0.005513208021633979,99.84820073220824,0.011054144197821497,99.83326385994164,5e-05,2.5e-05,349,1,2048.0,1556.0,153.00077449999662,False
14,0.004058763665803639,99.88391820698277,0.004968696358097917,99.87494789495624,2.5e-05,2.5e-05,350,0,2048.0,1556.0,153.5698545999985,True
15,0.000949952454062593,99.9464237878382,0.003502362516830977,99.83326385994164,2.5e-05,2.5e-05,350,0,2048.0,1556.0,152.3518697000036,True
16,0.0020544577589215016,99.93749441914457,0.01158220895184888,99.79157982492706,2.5e-05,2.5e-05,350,0,2048.0,1556.0,152.91161669999565,False
17,0.0005066528628987859,99.9732118939191,0.006851425216615518,99.91663192997082,2.5e-05,2.5e-05,350,0,2048.0,1556.0,152.62818590000097,False
18,0.0033816698647111502,99.91070631306367,0.012006802725863016,99.79157982492706,2.5e-05,1.25e-05,350,0,4096.0,1556.0,152.78243539999676,False
19,0.0015436662339642655,99.93749441914457,0.002801562657501171,99.95831596498542,1.25e-05,1.25e-05,350,0,4096.0,1556.0,153.1810078999988,True
20,0.000711701322728978,99.9732118939191,0.004209996263599852,99.91663192997082,1.25e-05,1.25e-05,350,0,4096.0,1556.0,152.31829629999993,False
21,0.001378471039238986,99.96428252522547,0.003739113060321943,99.91663192997082,1.25e-05,1.25e-05,350,0,4096.0,1556.0,152.71705610000208,False
22,0.0003367209268346723,99.99107063130637,0.0027857498110900256,99.95831596498542,1.25e-05,1.25e-05,350,0,4096.0,1556.0,153.0710839999956,True
23,0.00026036996920508385,99.98214126261273,0.004182245593211538,99.91663192997082,1.25e-05,1.25e-05,350,0,4096.0,1556.0,152.7093165999977,False
24,0.00014931438785113158,99.99107063130637,0.0031490073496227874,99.91663192997082,1.25e-05,1.25e-05,350,0,8192.0,1556.0,152.53297819999716,False
25,2.1104920099032676e-05,100.0,0.00577386819903811,99.91663192997082,1.25e-05,6.25e-06,350,0,8192.0,1556.0,153.76333959999465,False
26,3.547452047921497e-05,100.0,0.005385426642149896,99.91663192997082,6.25e-06,6.25e-06,350,0,8192.0,1556.0,153.3536849000011,False
27,4.333188616805332e-05,100.0,0.0027132571961001905,99.95831596498542,6.25e-06,6.25e-06,350,0,8192.0,1556.0,153.41009830000257,True
28,0.00012404292955055165,99.99107063130637,0.0034689483865192046,99.91663192997082,6.25e-06,6.25e-06,350,0,8192.0,1556.0,152.93453579999914,False
29,9.598845321691997e-05,100.0,0.004141413753059991,99.91663192997082,6.25e-06,6.25e-06,350,0,8192.0,1556.0,152.31472080000094,False
30,0.00010180067874835729,100.0,0.003994821160472222,99.87494789495624,6.25e-06,3.125e-06,350,0,16384.0,1556.0,152.96217790000082,False
