epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.6614432162729552,82.72167157781945,0.09300243740213437,97.04043351396415,0.0001,0.0001,347,3,8192.0,1618.0,108.15878270000394,True
2,0.11237224780142185,96.58898115903206,0.0358099054915228,98.74947894956232,0.0001,0.0001,350,0,8192.0,1618.0,109.77443749999657,True
3,0.073906665802779,97.6426466648808,0.02687144980150756,98.99958315964984,0.0001,0.0001,350,0,8192.0,1618.0,110.33662280000135,True
4,0.05492088937133495,98.27663184212877,0.029105881990959207,99.29137140475198,0.0001,0.0001,350,0,8192.0,1618.0,110.59853669999575,False
5,0.0420015839083502,98.73202964550406,0.02604994529393541,99.16631929970822,0.0001,0.0001,350,0,8192.0,1618.0,113.23437230000127,True
6,0.0360676226705008,98.77667648897223,0.02805961847969433,99.08295122967903,0.0001,0.0001,350,0,16384.0,1618.0,113.53821179999795,False
7,0.026415173182591126,99.19635681757299,0.039436087798421934,99.04126719466444,0.0001,0.0001,349,1,8192.0,1618.0,111.56384270000126,False
8,0.02693817070353098,99.14278060541119,0.025037165630498934,99.49979157982493,0.0001,0.0001,350,0,8192.0,1618.0,112.08991640000022,True
9,0.022567791596538364,99.29457987320296,0.02847099244568212,99.37473947478117,0.0001,0.0001,350,0,8192.0,1618.0,111.59948499999882,False
10,0.02192956584731561,99.3302973479775,0.03175563437586928,99.24968736973739,0.0001,0.0001,350,0,8192.0,1618.0,111.88506870000128,False
11,0.016877657405555302,99.36601482275204,0.0250867316502628,99.45810754481033,0.0001,5e-05,349,1,4096.0,1618.0,111.38796419999562,False
12,0.01134378634826402,99.66068398964192,0.017174576759007572,99.6248436848687,5e-05,5e-05,350,0,4096.0,1618.0,111.28605470000184,True
13,0.009142125030308486,99.71426020180373,0.016327000399712757,99.6248436848687,5e-05,5e-05,350,0,4096.0,1618.0,111.9008438000019,True
14,0.009639087809407847,99.71426020180373,0.016420997595318922,99.66652771988328,5e-05,5e-05,350,0,4096.0,1618.0,111.76742930000182,False
15,0.006912662876971559,99.82141262612734,0.014171041514116673,99.5831596498541,5e-05,5e-05,350,0,4096.0,1618.0,111.6057507000005,True
16,0.009072839125642173,99.7589070452719,0.01748944223300991,99.54147561483951,5e-05,5e-05,350,0,4096.0,1618.0,111.42528109999694,False
17,0.0060548582585530555,99.7856951513528,0.0165907133613465,99.54147561483951,5e-05,5e-05,350,0,8192.0,1618.0,111.22888380000222,False
18,0.007913079203549047,99.7589070452719,0.01858906479563616,99.54147561483951,5e-05,2.5e-05,350,0,8192.0,1618.0,111.48119790000055,False
19,0.005582234940429932,99.7589070452719,0.01615711652819834,99.6248436848687,2.5e-05,2.5e-05,350,0,8192.0,1618.0,111.30312280000362,False
20,0.00527120864086304,99.84820073220824,0.01910151800246387,99.5831596498541,2.5e-05,2.5e-05,349,1,4096.0,1618.0,111.41134190000594,False
21,0.005073895226805688,99.85713010090187,0.017207554351664857,99.6248436848687,2.5e-05,1.25e-05,350,0,4096.0,1618.0,111.60714069999813,False
22,0.0021796578525535046,99.91070631306367,0.01692788891118484,99.6248436848687,1.25e-05,1.25e-05,350,0,4096.0,1618.0,111.35848180000175,False
