epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.5117130285914492,85.21296544334317,0.07280271880186182,97.99916631929972,0.0001,0.0001,350,0,65536.0,1576.0,215.22680090000358,True
2,0.14589607404750024,95.34779891061702,0.07450078958808512,97.83243017924134,0.0001,0.0001,350,0,65536.0,1576.0,229.39889199999743,False
3,0.1109160688428067,96.66041610858113,0.052984157817090746,98.4160066694456,0.0001,0.0001,350,0,65536.0,1576.0,240.3401959000039,True
4,0.07579004357969174,97.52656487186357,0.04766823868807824,98.54105877448937,0.0001,0.0001,350,0,65536.0,1576.0,245.7705219000054,True
5,0.05882287116845848,98.08911509956246,0.03838407123720219,98.91621508962068,0.0001,0.0001,350,0,65536.0,1576.0,249.49885619999986,True
6,0.048558364842422666,98.51772479685687,0.04695782317569741,98.66611087953314,0.0001,0.0001,350,0,131072.0,1576.0,234.2743025000018,False
7,0.04172780131413888,98.81239396374676,0.037540876552368534,99.08295122967903,0.0001,0.0001,349,1,65536.0,1576.0,231.6606030000039,True
8,0.039903373265856745,98.86597017590857,0.027943819152555498,99.29137140475198,0.0001,0.0001,350,0,65536.0,1576.0,236.43527899999754,True
9,0.03640372693352364,98.7409590141977,0.03836863808156697,99.24968736973739,0.0001,0.0001,350,0,65536.0,1576.0,231.99235300000146,False
10,0.03152513321053352,99.02669881239396,0.04399429534365222,98.99958315964984,0.0001,0.0001,350,0,65536.0,1576.0,235.7739883999966,False
11,0.02885153356888088,99.16956871149209,0.02420877625217765,99.49979157982493,0.0001,0.0001,349,1,32768.0,1576.0,226.54571049999504,True
12,0.02834383764261538,99.13385123671756,0.03298140560999725,98.87453105460608,0.0001,0.0001,350,0,32768.0,1576.0,216.1445176999987,False
13,0.037093598532017207,98.9552638628449,0.030716979538436693,99.12463526469362,0.0001,0.0001,350,0,32768.0,1576.0,218.12191440000606,False
14,0.02818196005343682,99.23207429234753,0.025641339676927652,99.04126719466444,0.0001,5e-05,350,0,32768.0,1576.0,237.2957927000025,False
15,0.010994010505420794,99.74997767657825,0.016390121147105446,99.5831596498541,5e-05,5e-05,350,0,32768.0,1576.0,221.81326100000297,True
16,0.007407489053049115,99.80355388874007,0.01608818473792085,99.66652771988328,5e-05,5e-05,350,0,32768.0,1576.0,219.90222809999977,True
17,0.005170967646465844,99.8124832574337,0.02260933900286938,99.49979157982493,5e-05,5e-05,350,0,65536.0,1576.0,233.14689109999745,False
18,0.01080950889526068,99.66961335833557,0.02420997619629001,99.45810754481033,5e-05,5e-05,350,0,65536.0,1576.0,252.90082149999944,False
19,0.007597336524115397,99.79462452004644,0.018524481535653753,99.5831596498541,5e-05,2.5e-05,350,0,65536.0,1576.0,263.6118499000004,False
20,0.003649947131949143,99.87498883828914,0.015307301181016782,99.70821175489787,2.5e-05,2.5e-05,350,0,65536.0,1576.0,248.85297569999966,True
21,0.001980804629988843,99.95535315653183,0.020220852186402943,99.54147561483951,2.5e-05,2.5e-05,350,0,65536.0,1576.0,236.65859610000916,False
22,0.0018246273845251351,99.9464237878382,0.020565716809854084,99.5831596498541,2.5e-05,2.5e-05,350,0,65536.0,1576.0,242.75748810000368,False
23,0.0025470451829280837,99.8928475756764,0.022773012413291896,99.54147561483951,2.5e-05,1.25e-05,349,1,32768.0,1576.0,267.5515354999952,False
24,0.0019852271192393753,99.93749441914457,0.016979505440353006,99.70821175489787,1.25e-05,1.25e-05,350,0,32768.0,1576.0,246.10590569999476,False
25,0.0010324995203782666,99.95535315653183,0.017838882525398468,99.83326385994164,1.25e-05,1.25e-05,350,0,32768.0,1576.0,210.66976380000415,False
26,0.002086565788753924,99.93749441914457,0.0185940386405247,99.74989578991247,1.25e-05,6.25e-06,350,0,32768.0,1576.0,211.08345750000444,False
27,0.0016622053087222712,99.95535315653183,0.01910331692483034,99.74989578991247,6.25e-06,6.25e-06,350,0,32768.0,1576.0,211.11451379999926,False
