epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.4956812320062705,86.30234842396642,0.11652388603501442,96.7903293038766,0.0001,0.0001,348,2,16384.0,944.0,104.8048001000061,True
2,0.08098350509398097,97.589070452719,0.0730442611703268,97.70737807419758,0.0001,0.0001,349,1,8192.0,944.0,102.96151839999948,True
3,0.05726494490311527,98.12483257433699,0.05117420919228651,98.70779491454773,0.0001,0.0001,350,0,8192.0,944.0,100.94301319999795,True
4,0.04025898357412206,98.7677471202786,0.057590994452448155,98.49937473947477,0.0001,0.0001,350,0,8192.0,944.0,101.75881949999894,False
5,0.029793183392930668,98.9820519689258,0.04275642558395843,98.8328470195915,0.0001,0.0001,350,0,8192.0,944.0,105.13968549999845,True
6,0.026836677949013378,99.16063934279846,0.0204363558471487,99.41642350979575,0.0001,0.0001,350,0,8192.0,944.0,100.96215230000234,True
7,0.020038456077674523,99.27672113581569,0.03474209635456765,99.16631929970822,0.0001,0.0001,349,1,4096.0,944.0,106.23185369999555,False
8,0.02025314627214497,99.5178140905438,0.0341897738282996,99.33305543976657,0.0001,0.0001,350,0,4096.0,944.0,104.22580369999923,False
9,0.02373528299050289,99.3570854540584,0.019521590916998708,99.49979157982493,0.0001,0.0001,350,0,4096.0,944.0,100.95894479999697,True
10,0.026255633624070948,99.36601482275204,0.019950294206225596,99.5831596498541,0.0001,0.0001,350,0,4096.0,944.0,107.16602279999643,False
11,0.013834682006248974,99.5178140905438,0.033740379056019155,99.33305543976657,0.0001,0.0001,350,0,4096.0,944.0,99.65735600000335,False
12,0.011463575962812505,99.63389588356102,0.04503746755947578,99.08295122967903,0.0001,5e-05,350,0,4096.0,944.0,101.29784249999648,False
13,0.008130543108318122,99.74997767657825,0.030653233228011962,99.41642350979575,5e-05,5e-05,350,0,8192.0,944.0,101.15060760000051,False
14,0.0050011343007101425,99.8124832574337,0.02992024765555365,99.37473947478117,5e-05,5e-05,350,0,8192.0,944.0,112.24019489999773,False
15,0.0038823049861522593,99.8928475756764,0.017665917846549202,99.5831596498541,5e-05,5e-05,350,0,8192.0,944.0,102.1368971999982,True
16,0.003131556468977945,99.8928475756764,0.02526089667072844,99.5831596498541,5e-05,5e-05,350,0,8192.0,944.0,95.99417239999457,False
17,0.002917686784971182,99.9196356817573,0.020677064199554954,99.6248436848687,5e-05,5e-05,350,0,8192.0,944.0,103.4798449000009,False
18,0.005887226690172761,99.7856951513528,0.018286717738138784,99.6248436848687,5e-05,2.5e-05,350,0,8192.0,944.0,96.15417570000136,False
19,0.003908253625497665,99.87498883828914,0.019532722495139116,99.49979157982493,2.5e-05,2.5e-05,350,0,16384.0,944.0,96.69462130000466,False
20,0.0022414922408599473,99.90177694437004,0.01766249486535495,99.6248436848687,2.5e-05,2.5e-05,350,0,16384.0,944.0,96.83319939999637,True
21,0.001672375670973766,99.9196356817573,0.017571275113049543,99.74989578991247,2.5e-05,2.5e-05,350,0,16384.0,944.0,96.4505641999931,True
22,0.0013250571930601284,99.95535315653183,0.016080434891721757,99.79157982492706,2.5e-05,2.5e-05,349,1,8192.0,944.0,106.93561639999825,True
23,0.0014814562801914012,99.9464237878382,0.014867265455987646,99.66652771988328,2.5e-05,2.5e-05,350,0,8192.0,944.0,96.99063970000134,True
24,0.002139726271863203,99.90177694437004,0.014416530759394332,99.66652771988328,2.5e-05,2.5e-05,350,0,8192.0,944.0,97.77605520000361,True
25,0.002028897981594977,99.9464237878382,0.016507026154454565,99.79157982492706,2.5e-05,2.5e-05,350,0,8192.0,944.0,97.62822219999362,False
26,0.0013343881937643949,99.95535315653183,0.017025645100295667,99.70821175489787,2.5e-05,2.5e-05,350,0,8192.0,944.0,97.24937770000543,False
27,0.0014961386237528898,99.9464237878382,0.014743525766825406,99.79157982492706,2.5e-05,1.25e-05,350,0,8192.0,944.0,97.5375303999972,False
28,0.001771381875423006,99.96428252522547,0.016896424764589524,99.74989578991247,1.25e-05,1.25e-05,350,0,16384.0,944.0,97.59809159999713,False
29,0.0012147269398018075,99.9464237878382,0.01729392448829335,99.79157982492706,1.25e-05,1.25e-05,350,0,16384.0,944.0,98.37738099999842,False
30,0.001184094228692915,99.9732118939191,0.01504145676316276,99.74989578991247,1.25e-05,6.25e-06,350,0,16384.0,944.0,98.3110377999983,False
