epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,next_learning_rate,optimizer_updates,amp_skipped_updates,amp_scale,peak_cuda_memory_mb,epoch_time_seconds,best_checkpoint
1,0.5864165403113183,84.07000625055808,0.08778083394194218,97.33222175906627,0.0001,0.0001,348,2,16384.0,1910.0,138.3712822000016,True
2,0.11298901732857658,96.52647557817662,0.04389088334758906,98.45769070446019,0.0001,0.0001,350,0,16384.0,1910.0,138.57227879999846,True
3,0.0775410206400504,97.57121171533173,0.054290774664129224,98.16590245935807,0.0001,0.0001,350,0,16384.0,1910.0,137.8127655999997,False
4,0.0519751124900639,98.43736047861417,0.07417462353082936,97.62401000416841,0.0001,0.0001,350,0,16384.0,1910.0,153.1433556999982,False
5,0.03943218580101893,98.83025270113403,0.04630254764938102,98.62442684451855,0.0001,5e-05,350,0,16384.0,1910.0,162.6561228999999,False
6,0.021372963953892148,99.28565050450932,0.020775353475885328,99.41642350979575,5e-05,5e-05,350,0,32768.0,1910.0,158.01571339999646,True
7,0.012972815389799741,99.60710777748012,0.019079180496557303,99.54147561483951,5e-05,5e-05,350,0,32768.0,1910.0,161.5006180000055,True
8,0.013464892746835785,99.58031967139924,0.01920681712359812,99.54147561483951,5e-05,5e-05,350,0,32768.0,1910.0,155.45070979999582,False
9,0.010935952815867386,99.6517546209483,0.021494419239830708,99.49979157982493,5e-05,5e-05,350,0,32768.0,1910.0,156.3466677000033,False
10,0.010593706554904653,99.64282525225467,0.016713485016133102,99.54147561483951,5e-05,5e-05,349,1,16384.0,1910.0,154.9031499000048,True
11,0.009835033432079702,99.64282525225467,0.016453260628076272,99.5831596498541,5e-05,5e-05,349,1,8192.0,1910.0,155.52139010000246,True
12,0.007651148861524875,99.76783641396553,0.014729101591323629,99.70821175489787,5e-05,5e-05,350,0,8192.0,1910.0,154.89956330000132,True
13,0.011174046416010674,99.6517546209483,0.025907368151134827,99.33305543976657,5e-05,5e-05,350,0,8192.0,1910.0,154.36634559999948,False
14,0.00546617528576642,99.7856951513528,0.019528865118167645,99.45810754481033,5e-05,5e-05,350,0,8192.0,1910.0,153.15785280000273,False
15,0.00852728698430128,99.79462452004644,0.059670267128930074,98.8328470195915,5e-05,2.5e-05,350,0,8192.0,1910.0,151.88259640000615,False
16,0.0072447063665713575,99.79462452004644,0.02450198002190883,99.33305543976657,2.5e-05,2.5e-05,350,0,16384.0,1910.0,142.87653200000204,False
17,0.004052508001479419,99.84820073220824,0.050524516222965644,98.95789912463526,2.5e-05,2.5e-05,350,0,16384.0,1910.0,142.841299599997,False
18,0.0029800239890978987,99.88391820698277,0.017952226061974975,99.37473947478117,2.5e-05,1.25e-05,350,0,16384.0,1910.0,142.70236679999653,False
19,0.0015707304006109125,99.95535315653183,0.01659933792252074,99.54147561483951,1.25e-05,1.25e-05,350,0,16384.0,1910.0,143.7028910999943,False
