xai_case_id,domain,sample_id,selection_roles,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,cosine_similarity,pearson_correlation,weighted_overlap,mean_squared_difference,mean_absolute_difference,normalized_center_distance,normalized_peak_distance
XAI_009,internal,PV_TEST_00429,internal_all_incorrect,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9998940833150056,0.006452944307168137,-0.47322064560298466,0.023292300932307764,0.12823022475937226,0.2837433982984154,0.41428622306417934,0.4090561231204022
XAI_019,external,PD_EXT_0001,external_representative_incorrect,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9995757937431335,0.2789537382348363,-0.17383274491509806,0.2962985336144421,0.11544012159927716,0.24717182679220567,0.19188805068057838,0.6101374360622323
XAI_020,external,PD_EXT_0012,external_representative_incorrect,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,0.997334361076355,0.31983491770683,-0.006975783760189845,0.27918463664745835,0.08473165449066743,0.20632961872322714,0.1507832452550979,0.10468715273478701
XAI_021,external,PD_EXT_0023,external_representative_incorrect;external_high_confidence_incorrect,2,Tomato_Late_blight,1,Tomato_Early_blight,0.9999958276748656,0.28931062662206986,-0.04012115532878392,0.3108646712328253,0.058352988370993446,0.15718854321044104,0.058691284424718215,0.30757559540401397
XAI_022,external,PD_EXT_0029,external_representative_incorrect,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,0.9889935851097108,0.7062644493254779,0.5680059519864831,0.49397546971889666,0.0525477021741857,0.139756283173773,0.12030924563422418,0.38637953773162365
XAI_023,external,PD_EXT_0035,external_representative_incorrect,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999233484268188,0.07653860843208579,-0.23815260609676378,0.11017973837226101,0.10042598645202681,0.21379432587492805,0.18848798003051517,0.2942093652422227
XAI_024,external,PD_EXT_0047,external_representative_incorrect,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.97798490524292,0.01558929979003778,-0.34010525014692755,0.040551768384755243,0.09648669564913917,0.2144942182911284,0.34815234609175794,0.5073411882952807
XAI_025,external,PD_EXT_0068,external_representative_incorrect,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,0.9331840872764589,0.21167894757793504,-0.12729889342512418,0.2001233764276932,0.09380508304166184,0.22457219773313838,0.24664349668060545,0.5505386115198792
XAI_026,external,PD_EXT_0074,external_representative_incorrect,9,Tomato_healthy,2,Tomato_Late_blight,0.9657007455825806,0.0630512664765511,-0.27379194799405865,0.08482881472860843,0.14359674042388687,0.2690568616517045,0.3840906931517477,0.43049327354260086
XAI_032,external,PD_EXT_0011,external_high_confidence_incorrect,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9999966621398926,0.18214702485755005,-0.0471418773294193,0.22106167908011307,0.04313687182610082,0.11831873200498885,0.11047754886726756,0.2283475705197133
XAI_033,external,PD_EXT_0020,external_high_confidence_incorrect,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,0.9999936819076538,0.24923100568187764,-0.13236091982039438,0.20880157870646443,0.07175643282907884,0.2021745771251061,0.15786005226167923,0.32087074116588915
XAI_034,external,PD_EXT_0037,external_high_confidence_incorrect,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999880790710448,0.3950932977015975,0.17951265620563295,0.31364950425217164,0.0744150148915354,0.1740093552547114,0.008446984929459254,0.18118478789988274
XAI_035,external,PD_EXT_0054,external_high_confidence_incorrect,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.9999914169311525,0.3964127028554982,0.08131870040826578,0.3369043442970925,0.06702068996751673,0.18030091448386032,0.23747150252402657,0.659543544783865
XAI_036,external,PD_EXT_0004,external_low_confidence,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.5455209612846375,0.7676060863506456,0.5731128890859943,0.6268447838422566,0.04679781134406911,0.15833627589327542,0.10524766943209536,0.18029471294147648
XAI_037,external,PD_EXT_0059,external_low_confidence,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.5530862808227539,0.09865819953672018,-0.25998998374369153,0.14315090299730918,0.10337503977403807,0.2136378771528271,0.27245727085248744,0.5549044246979633
XAI_038,external,PD_EXT_0060,external_low_confidence,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0,Tomato_Bacterial_spot,0.4406662881374359,0.6361703522168038,0.4719618002225028,0.5155535334015511,0.0479653521310682,0.1386476792868264,0.071158207838025,0.3229010946617882
XAI_039,external,PD_EXT_0065,external_low_confidence,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,0.37744140625,0.48817256435062567,0.2786150528383447,0.3837867146576241,0.05659807117729966,0.13657877236589946,0.03620797487368255,0.14798206278026907
XAI_040,external,PD_EXT_0078,external_low_confidence,9,Tomato_healthy,2,Tomato_Late_blight,0.5818392634391785,0.38302755096652313,-0.03513387471361031,0.3430005780228334,0.11855389527381661,0.2582769603653174,0.18901717653417777,0.4813061117488337
