xai_case_number,domain,dataset,sample_index,sample_id,image_path,relative_path,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct,shared8_ground_truth,high_confidence_ge_90,very_high_confidence_ge_95,low_confidence_lt_70,cam_primary_target_index,cam_primary_target_name,generate_true_class_comparison_cam,case_key,primary_selection_role,selection_roles,selection_role_count,selection_strategies,minimum_role_priority,xai_case_id,primary_cam_target_index,primary_cam_target_name,secondary_true_class_cam_required,secondary_cam_target_index,secondary_cam_target_name,image_sha256
1,internal,PlantVillage,230,PV_TEST_00230,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999992640173208,True,True,True,True,False,0,Tomato_Bacterial_spot,False,internal::PV_TEST_00230,internal_representative_correct,internal_representative_correct,1,class=0; class_median_confidence=0.999999264017; selected_by=min_absolute_distance_to_median,1,XAI_001,0,Tomato_Bacterial_spot,False,-1,,22af53a26be01b9ce5f4fb24a461d854ba6fad5e12299b08027bf935a1289534
2,internal,PlantVillage,330,PV_TEST_00330,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\113562f3-fe24-4b28-9ec8-7ca432bded47___RS_Erly.B 9402.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\113562f3-fe24-4b28-9ec8-7ca432bded47___RS_Erly.B 9402.JPG,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999991479278652,True,True,True,True,False,1,Tomato_Early_blight,False,internal::PV_TEST_00330,internal_representative_correct,internal_representative_correct,1,class=1; class_median_confidence=0.999999147928; selected_by=min_absolute_distance_to_median,1,XAI_002,1,Tomato_Early_blight,False,-1,,570a6de5a6f683e52c9db3d8c01f8952d90fe3aa22415b416a379fd83482c710
3,internal,PlantVillage,497,PV_TEST_00497,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\1e55a2c0-6618-4c42-93a6-cfc8a9d5ca77___GHLB2 Leaf 9039.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\1e55a2c0-6618-4c42-93a6-cfc8a9d5ca77___GHLB2 Leaf 9039.JPG,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999985560595678,True,True,True,True,False,2,Tomato_Late_blight,False,internal::PV_TEST_00497,internal_representative_correct,internal_representative_correct,1,class=2; class_median_confidence=0.999998556060; selected_by=min_absolute_distance_to_median,1,XAI_003,2,Tomato_Late_blight,False,-1,,59b5029a8ef2df0449b978bba32804ab06e7021194c8b0d837a1ffd7af846b31
4,internal,PlantVillage,850,PV_TEST_00850,D:\Tomato_Disease_Research\plantvillage\Tomato_Leaf_Mold\b38caab5-9031-4877-ba93-96bec1bdd4ff___Crnl_L.Mold 9028.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Leaf_Mold\b38caab5-9031-4877-ba93-96bec1bdd4ff___Crnl_L.Mold 9028.JPG,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,0.9999993493195394,True,True,True,True,False,3,Tomato_Leaf_Mold,False,internal::PV_TEST_00850,internal_representative_correct,internal_representative_correct,1,class=3; class_median_confidence=0.999999349320; selected_by=min_absolute_distance_to_median,1,XAI_004,3,Tomato_Leaf_Mold,False,-1,,8e526b87eb18316bd3ce6b9d5679524242504ea91af0f8c4129480f591b85384
5,internal,PlantVillage,1070,PV_TEST_01070,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\a654c03b-c0d9-4605-9e21-a91a19ce0466___Matt.S_CG 6135.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\a654c03b-c0d9-4605-9e21-a91a19ce0466___Matt.S_CG 6135.JPG,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999994719263872,True,True,True,True,False,4,Tomato_Septoria_leaf_spot,False,internal::PV_TEST_01070,internal_representative_correct,internal_representative_correct,1,class=4; class_median_confidence=0.999999471971; selected_by=min_absolute_distance_to_median,1,XAI_005,4,Tomato_Septoria_leaf_spot,False,-1,,ec99a45fd7b3ad3c756b4a39d397a5e4b79c93cf8d458f4bb274e094684beb6c
6,internal,PlantVillage,1736,PV_TEST_01736,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\211eb7f6-3b10-4e02-9c39-94c6670ff89e___YLCV_NREC 2480.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\211eb7f6-3b10-4e02-9c39-94c6670ff89e___YLCV_NREC 2480.JPG,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.9999991574045416,True,True,True,True,False,7,Tomato__Tomato_YellowLeaf__Curl_Virus,False,internal::PV_TEST_01736,internal_representative_correct,internal_representative_correct,1,class=7; class_median_confidence=0.999999157405; selected_by=min_absolute_distance_to_median,1,XAI_006,7,Tomato__Tomato_YellowLeaf__Curl_Virus,False,-1,,7b9b92f079dae777b4d3460153904986f93a15b7af639297eac7d5e91bc2caf4
7,internal,PlantVillage,2143,PV_TEST_02143,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_mosaic_virus\b386eecb-c3b8-4b92-8352-b3b687c2db15___PSU_CG 2236.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_mosaic_virus\b386eecb-c3b8-4b92-8352-b3b687c2db15___PSU_CG 2236.JPG,8,Tomato__Tomato_mosaic_virus,8,Tomato__Tomato_mosaic_virus,0.9999991182413416,True,True,True,True,False,8,Tomato__Tomato_mosaic_virus,False,internal::PV_TEST_02143,internal_representative_correct,internal_representative_correct,1,class=8; class_median_confidence=0.999999114856; selected_by=min_absolute_distance_to_median,1,XAI_007,8,Tomato__Tomato_mosaic_virus,False,-1,,6f79d2d34726c4bf87ff2ea7cc123445fe32dd34e6a80bb5b899a02f0e56cae6
8,internal,PlantVillage,2376,PV_TEST_02376,D:\Tomato_Disease_Research\plantvillage\Tomato_healthy\e36e5c2c-277b-4e8f-b12b-46df2e569c85___GH_HL Leaf 187.1.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_healthy\e36e5c2c-277b-4e8f-b12b-46df2e569c85___GH_HL Leaf 187.1.JPG,9,Tomato_healthy,9,Tomato_healthy,0.9999972335642836,True,True,True,True,False,9,Tomato_healthy,False,internal::PV_TEST_02376,internal_representative_correct,internal_representative_correct,1,class=9; class_median_confidence=0.999997235123; selected_by=min_absolute_distance_to_median,1,XAI_008,9,Tomato_healthy,False,-1,,9dfef17e27d120c042fabed8f337179f21c61fffdb5d3941933b567d57ddcbc8
9,internal,PlantVillage,429,PV_TEST_00429,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\ba19f779-d0cf-4bc7-88df-96e6080fdc96___RS_Erly.B 7599.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\ba19f779-d0cf-4bc7-88df-96e6080fdc96___RS_Erly.B 7599.JPG,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9998940833150056,False,True,True,True,False,2,Tomato_Late_blight,True,internal::PV_TEST_00429,internal_all_incorrect,internal_all_incorrect,1,all_internal_errors_are_included,2,XAI_009,2,Tomato_Late_blight,True,1,Tomato_Early_blight,41623563d370f54f1faf3834503907fea960abc46e1018487433a08cbda8f334
10,internal,PlantVillage,595,PV_TEST_00595,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\695709e4-d869-4003-97eb-b2de21d5d1a5___GHLB2ES Leaf 62.1.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\695709e4-d869-4003-97eb-b2de21d5d1a5___GHLB2ES Leaf 62.1.JPG,2,Tomato_Late_blight,2,Tomato_Late_blight,0.8971366338183858,True,True,False,False,False,2,Tomato_Late_blight,False,internal::PV_TEST_00595,internal_relative_lowest_confidence,internal_relative_lowest_confidence,1,rank=2; three_lowest_confidence_correct_shared8_cases,3,XAI_010,2,Tomato_Late_blight,False,-1,,89a8f6e0ac4e112bed4a7528d54b42e850ee57997a9b7ade281f6b9046452adc
