case_key,domain,dataset,sample_id,sample_index,selection_role,role_priority,strategy_detail,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct
internal::PV_TEST_00230,internal,PlantVillage,PV_TEST_00230,230,internal_representative_correct,1,class=0; class_median_confidence=0.999999264017; selected_by=min_absolute_distance_to_median,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,0.9999992640173208,True
internal::PV_TEST_00330,internal,PlantVillage,PV_TEST_00330,330,internal_representative_correct,1,class=1; class_median_confidence=0.999999147928; selected_by=min_absolute_distance_to_median,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999991479278652,True
internal::PV_TEST_00497,internal,PlantVillage,PV_TEST_00497,497,internal_representative_correct,1,class=2; class_median_confidence=0.999998556060; selected_by=min_absolute_distance_to_median,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999985560595678,True
internal::PV_TEST_00850,internal,PlantVillage,PV_TEST_00850,850,internal_representative_correct,1,class=3; class_median_confidence=0.999999349320; selected_by=min_absolute_distance_to_median,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,0.9999993493195394,True
internal::PV_TEST_01070,internal,PlantVillage,PV_TEST_01070,1070,internal_representative_correct,1,class=4; class_median_confidence=0.999999471971; selected_by=min_absolute_distance_to_median,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999994719263872,True
internal::PV_TEST_01736,internal,PlantVillage,PV_TEST_01736,1736,internal_representative_correct,1,class=7; class_median_confidence=0.999999157405; selected_by=min_absolute_distance_to_median,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.9999991574045416,True
internal::PV_TEST_02143,internal,PlantVillage,PV_TEST_02143,2143,internal_representative_correct,1,class=8; class_median_confidence=0.999999114856; selected_by=min_absolute_distance_to_median,8,Tomato__Tomato_mosaic_virus,8,Tomato__Tomato_mosaic_virus,0.9999991182413416,True
internal::PV_TEST_02376,internal,PlantVillage,PV_TEST_02376,2376,internal_representative_correct,1,class=9; class_median_confidence=0.999997235123; selected_by=min_absolute_distance_to_median,9,Tomato_healthy,9,Tomato_healthy,0.9999972335642836,True
internal::PV_TEST_00429,internal,PlantVillage,PV_TEST_00429,429,internal_all_incorrect,2,all_internal_errors_are_included,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9998940833150056,False
internal::PV_TEST_00595,internal,PlantVillage,PV_TEST_00595,595,internal_relative_lowest_confidence,3,rank=2; three_lowest_confidence_correct_shared8_cases,2,Tomato_Late_blight,2,Tomato_Late_blight,0.8971366338183858,True
