xai_case_id,domain,dataset,sample_id,image_path,image_sha256,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,selection_roles,locked_confidence,replayed_confidence,confidence_abs_diff,primary_target_index,primary_cam_degenerate,primary_gradient_l1_mean,primary_gradient_max_abs,primary_cam_mean,primary_cam_std,primary_cam_area_ge_050,primary_cam_area_ge_075,primary_cam_spatial_entropy,primary_cam_peak_x_norm,primary_cam_peak_y_norm,secondary_true_cam_generated,secondary_target_index,secondary_cam_degenerate,secondary_gradient_l1_mean,secondary_gradient_max_abs,secondary_cam_mean,secondary_cam_area_ge_050,secondary_cam_spatial_entropy,case_directory
XAI_001,internal,PlantVillage,PV_TEST_00230,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\b8f38ecf-ef8d-47b5-90a3-e937a300a931___GCREC_Bact.Sp 5770.JPG,22af53a26be01b9ce5f4fb24a461d854ba6fad5e12299b08027bf935a1289534,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,True,internal_representative_correct,0.9999992640173208,0.9999992847442627,2.0726941940552024e-08,0,False,0.0005765602691099048,0.003351441118866205,0.12716311641138883,0.19331159580775262,0.07561383928571429,0.012216996173469387,0.9091946305403871,0.21524663677130046,0.5022421524663677,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001
XAI_002,internal,PlantVillage,PV_TEST_00330,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\113562f3-fe24-4b28-9ec8-7ca432bded47___RS_Erly.B 9402.JPG,570a6de5a6f683e52c9db3d8c01f8952d90fe3aa22415b416a379fd83482c710,1,Tomato_Early_blight,1,Tomato_Early_blight,True,internal_representative_correct,0.9999991479278652,0.9999991655349731,1.7607107993811155e-08,1,False,0.0006180814234539866,0.0031260917894542217,0.2733882311075158,0.26845944325075916,0.22917330994897958,0.05931122448979592,0.9504229704011027,0.35874439461883406,0.7847533632286996,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002
XAI_003,internal,PlantVillage,PV_TEST_00497,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\1e55a2c0-6618-4c42-93a6-cfc8a9d5ca77___GHLB2 Leaf 9039.JPG,59b5029a8ef2df0449b978bba32804ab06e7021194c8b0d837a1ffd7af846b31,2,Tomato_Late_blight,2,Tomato_Late_blight,True,internal_representative_correct,0.9999985560595678,0.9999985694885254,1.3428957612582337e-08,2,False,0.0005659806192852557,0.0028681575786322355,0.06997803508952748,0.15243058890807207,0.03635204081632653,0.008589764030612245,0.8617528753871327,0.4977578475336323,0.6457399103139013,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003
XAI_004,internal,PlantVillage,PV_TEST_00850,D:\Tomato_Disease_Research\plantvillage\Tomato_Leaf_Mold\b38caab5-9031-4877-ba93-96bec1bdd4ff___Crnl_L.Mold 9028.JPG,8e526b87eb18316bd3ce6b9d5679524242504ea91af0f8c4129480f591b85384,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,True,internal_representative_correct,0.9999993493195394,0.9999994039535522,5.4634012869314574e-08,3,False,0.0006092570256441832,0.0063292463310062885,0.12396985008981794,0.21553902033223749,0.0858577806122449,0.03382095025510204,0.8903646396445924,0.3542600896860987,0.21524663677130046,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004
XAI_005,internal,PlantVillage,PV_TEST_01070,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\a654c03b-c0d9-4605-9e21-a91a19ce0466___Matt.S_CG 6135.JPG,ec99a45fd7b3ad3c756b4a39d397a5e4b79c93cf8d458f4bb274e094684beb6c,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,internal_representative_correct,0.9999994719263872,0.9999995231628418,5.123645463456228e-08,4,False,0.0004388914967421442,0.002416402567178011,0.10703839440149115,0.19183199446559807,0.060247927295918366,0.02126514668367347,0.8886524421436779,0.21524663677130046,0.21076233183856502,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005
XAI_006,internal,PlantVillage,PV_TEST_01736,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_YellowLeaf__Curl_Virus\211eb7f6-3b10-4e02-9c39-94c6670ff89e___YLCV_NREC 2480.JPG,7b9b92f079dae777b4d3460153904986f93a15b7af639297eac7d5e91bc2caf4,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,True,internal_representative_correct,0.9999991574045416,0.9999991655349731,8.130431550235073e-09,7,False,0.0007155743078328669,0.005503431893885136,0.06146267367759439,0.1461761383521348,0.029834980867346938,0.006058673469387755,0.8432993613674491,0.4977578475336323,0.21524663677130046,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006
XAI_007,internal,PlantVillage,PV_TEST_02143,D:\Tomato_Disease_Research\plantvillage\Tomato__Tomato_mosaic_virus\b386eecb-c3b8-4b92-8352-b3b687c2db15___PSU_CG 2236.JPG,6f79d2d34726c4bf87ff2ea7cc123445fe32dd34e6a80bb5b899a02f0e56cae6,8,Tomato__Tomato_mosaic_virus,8,Tomato__Tomato_mosaic_virus,True,internal_representative_correct,0.9999991182413416,0.9999990463256836,7.191565798425614e-08,8,False,0.000750254257582128,0.009899226948618889,0.32093864877050354,0.21647518419831488,0.20930325255102042,0.03657126913265306,0.9775495842415909,0.4977578475336323,0.6412556053811659,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007
XAI_008,internal,PlantVillage,PV_TEST_02376,D:\Tomato_Disease_Research\plantvillage\Tomato_healthy\e36e5c2c-277b-4e8f-b12b-46df2e569c85___GH_HL Leaf 187.1.JPG,9dfef17e27d120c042fabed8f337179f21c61fffdb5d3941933b567d57ddcbc8,9,Tomato_healthy,9,Tomato_healthy,True,internal_representative_correct,0.9999972335642836,0.9999972581863403,2.4622056726819608e-08,9,False,0.0006278616492636502,0.0029774759896099567,0.3924580677886698,0.21814285177523307,0.2977319834183674,0.08637595663265306,0.9856621311596127,0.6412556053811659,0.21076233183856502,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008
XAI_009,internal,PlantVillage,PV_TEST_00429,D:\Tomato_Disease_Research\plantvillage\Tomato_Early_blight\ba19f779-d0cf-4bc7-88df-96e6080fdc96___RS_Erly.B 7599.JPG,41623563d370f54f1faf3834503907fea960abc46e1018487433a08cbda8f334,1,Tomato_Early_blight,2,Tomato_Late_blight,False,internal_all_incorrect,0.9998940833150056,0.9998940229415894,6.037341626630166e-08,2,False,0.0007268412737175822,0.003270427929237485,0.1292554007843647,0.20593112451649134,0.07485650510204081,0.030034279336734693,0.9050198105854496,0.6457399103139013,0.21076233183856502,True,1,False,0.0010709487833082676,0.005902386270463467,0.16125464492251373,0.09644052933673469,0.9249174367701267,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009
XAI_010,internal,PlantVillage,PV_TEST_00595,D:\Tomato_Disease_Research\plantvillage\Tomato_Late_blight\695709e4-d869-4003-97eb-b2de21d5d1a5___GHLB2ES Leaf 62.1.JPG,89a8f6e0ac4e112bed4a7528d54b42e850ee57997a9b7ade281f6b9046452adc,2,Tomato_Late_blight,2,Tomato_Late_blight,True,internal_relative_lowest_confidence,0.8971366338183858,0.8971531391143799,1.6505295994062585e-05,2,False,0.0014200705336406827,0.006239166483283043,0.10462638002194943,0.16911600160726928,0.04454320790816327,0.009646045918367346,0.9054963074874298,0.3542600896860987,0.3542600896860987,False,-1,False,,,,,,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010
