domain,dataset,sample_index,sample_id,image_path,relative_path,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct,shared8_ground_truth,high_confidence_ge_90,very_high_confidence_ge_95,low_confidence_lt_70,cam_primary_target_index,cam_primary_target_name,generate_true_class_comparison_cam
external,PlantDoc,0,PD_EXT_0001,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_1.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_1.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9995757937431335,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,1,PD_EXT_0002,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_2.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_2.jpg,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,0.9997853636741638,False,True,True,True,False,2,Tomato_Late_blight,True
external,PlantDoc,2,PD_EXT_0003,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_3.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_3.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.7139220237731934,False,True,False,False,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,3,PD_EXT_0004,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_4.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_4.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.5455209612846375,False,True,False,False,True,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,4,PD_EXT_0005,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_5.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_5.jpg,0,Tomato_Bacterial_spot,1,Tomato_Early_blight,0.9999847412109376,False,True,True,True,False,1,Tomato_Early_blight,True
external,PlantDoc,5,PD_EXT_0006,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_6.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_6.jpg,0,Tomato_Bacterial_spot,2,Tomato_Late_blight,0.6728059649467468,False,True,False,False,True,2,Tomato_Late_blight,True
external,PlantDoc,6,PD_EXT_0007,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_7.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_7.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9999618530273438,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,7,PD_EXT_0008,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_8.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_8.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9999094009399414,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,8,PD_EXT_0009,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_9.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_9.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9954870343208312,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,9,PD_EXT_0010,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_1.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_1.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.999998927116394,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,10,PD_EXT_0011,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_2.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_2.jpg,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9999966621398926,False,True,True,True,False,2,Tomato_Late_blight,True
external,PlantDoc,11,PD_EXT_0012,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_3.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_3.jpg,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,0.997334361076355,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True
external,PlantDoc,12,PD_EXT_0013,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_4.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_4.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999988079071044,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,13,PD_EXT_0014,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_5.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_5.jpg,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9847747683525084,False,True,True,True,False,2,Tomato_Late_blight,True
external,PlantDoc,14,PD_EXT_0015,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_6.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_6.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999974966049194,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,15,PD_EXT_0016,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_7.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_7.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9998002648353576,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,16,PD_EXT_0017,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_8.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_8.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.993746280670166,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,17,PD_EXT_0018,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_9.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_9.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9661945104599,True,True,True,True,False,1,Tomato_Early_blight,False
external,PlantDoc,18,PD_EXT_0019,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_1.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_1.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999982118606568,True,True,True,True,False,2,Tomato_Late_blight,False
external,PlantDoc,19,PD_EXT_0020,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_10.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_10.jpg,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,0.9999936819076538,False,True,True,True,False,3,Tomato_Leaf_Mold,True
external,PlantDoc,20,PD_EXT_0021,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_2.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_2.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.999996304512024,True,True,True,True,False,2,Tomato_Late_blight,False
external,PlantDoc,21,PD_EXT_0022,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_3.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_3.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999873638153076,True,True,True,True,False,2,Tomato_Late_blight,False
external,PlantDoc,22,PD_EXT_0023,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_4.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_4.jpg,2,Tomato_Late_blight,1,Tomato_Early_blight,0.9999958276748656,False,True,True,True,False,1,Tomato_Early_blight,True
