review_group,disease_region_alignment,count,group_total,percentage
External Correct,NOT_APPLICABLE,1,11,9.090909090909092
External Correct,PARTIAL,2,11,18.181818181818183
External Correct,STRONG,6,11,54.54545454545454
External Correct,WEAK,2,11,18.181818181818183
External Wrong,NONE,6,17,35.294117647058826
External Wrong,NOT_APPLICABLE,2,17,11.76470588235294
External Wrong,PARTIAL,5,17,29.411764705882355
External Wrong,STRONG,1,17,5.88235294117647
External Wrong,WEAK,3,17,17.647058823529413
Internal Correct,NOT_APPLICABLE,1,11,9.090909090909092
Internal Correct,PARTIAL,6,11,54.54545454545454
Internal Correct,STRONG,1,11,9.090909090909092
Internal Correct,WEAK,3,11,27.27272727272727
Internal Wrong,PARTIAL,1,1,100.0
