review_group,background_bias,count,group_total,percentage
External Correct,DOMINANT,1,11,9.090909090909092
External Correct,MINOR,5,11,45.45454545454545
External Correct,MODERATE,2,11,18.181818181818183
External Correct,NONE,3,11,27.27272727272727
External Wrong,DOMINANT,6,17,35.294117647058826
External Wrong,MINOR,4,17,23.52941176470588
External Wrong,MODERATE,6,17,35.294117647058826
External Wrong,NONE,1,17,5.88235294117647
Internal Correct,MINOR,7,11,63.63636363636363
Internal Correct,MODERATE,4,11,36.36363636363637
Internal Wrong,MINOR,1,1,100.0
