review_group,attention_semantic_region,count,group_total,percentage
External Correct,BACKGROUND,1,11,9.090909090909092
External Correct,LEAF_AND_BACKGROUND,2,11,18.181818181818183
External Correct,NON_SYMPTOM_LEAF,1,11,9.090909090909092
External Correct,SYMPTOM_REGION,7,11,63.63636363636363
External Wrong,BACKGROUND,5,17,29.411764705882355
External Wrong,LEAF_AND_BACKGROUND,6,17,35.294117647058826
External Wrong,NON_LEAF_OBJECT,1,17,5.88235294117647
External Wrong,NON_SYMPTOM_LEAF,1,17,5.88235294117647
External Wrong,SYMPTOM_REGION,4,17,23.52941176470588
Internal Correct,LEAF_AND_BACKGROUND,4,11,36.36363636363637
Internal Correct,NON_SYMPTOM_LEAF,1,11,9.090909090909092
Internal Correct,SYMPTOM_REGION,6,11,54.54545454545454
Internal Wrong,SYMPTOM_REGION,1,1,100.0
