xai_case_id,domain,dataset,sample_id,selection_roles,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,input_image_path,primary_overlay_path,secondary_overlay_path,leaf_visibility,symptom_visibility,background_complexity,multiple_leaves_or_objects,case_annotation_confidence,case_context_note,annotation_source,annotation_scope,expert_pathology_validation
XAI_001,internal,PlantVillage,PV_TEST_00230,internal_representative_correct,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,True,0.9999992640173208,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,NO,HIGH,Single leaf on a plain background with multiple visible spot-like abnormalities.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_002,internal,PlantVillage,PV_TEST_00330,internal_representative_correct,1,Tomato_Early_blight,1,Tomato_Early_blight,True,0.9999991479278652,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,NO,HIGH,Single severely affected leaf on a plain background with extensive visible discoloration and necrosis.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_003,internal,PlantVillage,PV_TEST_00497,internal_representative_correct,2,Tomato_Late_blight,2,Tomato_Late_blight,True,0.9999985560595678,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003\primary_predicted_class_overlay.png,,CLEAR,SUBTLE,LOW,NO,MEDIUM,Single leaf; the visible abnormality is comparatively subtle and concentrated toward the lower portion.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_004,internal,PlantVillage,PV_TEST_00850,internal_representative_correct,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,True,0.9999993493195394,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,YES,HIGH,Main leaf plus additional leaflets and stem on a plain background; mottled discoloration is visible.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_005,internal,PlantVillage,PV_TEST_01070,internal_representative_correct,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,0.9999994719263872,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,NO,HIGH,Single leaf on a plain background with numerous visible spot-like abnormalities.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_006,internal,PlantVillage,PV_TEST_01736,internal_representative_correct,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,True,0.9999991574045416,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,YES,HIGH,Several leaves on a stem with visible curling and yellow-green structural change.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_007,internal,PlantVillage,PV_TEST_02143,internal_representative_correct,8,Tomato__Tomato_mosaic_virus,8,Tomato__Tomato_mosaic_virus,True,0.9999991182413416,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,NO,HIGH,Single leaf on a plain background with strong mottled discoloration.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_008,internal,PlantVillage,PV_TEST_02376,internal_representative_correct,9,Tomato_healthy,9,Tomato_healthy,True,0.9999972335642836,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008\primary_predicted_class_overlay.png,,CLEAR,NONE,LOW,NO,HIGH,Single visually symptom-free leaf on a plain background.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_009,internal,PlantVillage,PV_TEST_00429,internal_all_incorrect,1,Tomato_Early_blight,2,Tomato_Late_blight,False,0.9998940833150056,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\secondary_true_class_overlay.png,CLEAR,CLEAR,LOW,NO,HIGH,Single heavily curled and necrotic leaf on a plain background.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_010,internal,PlantVillage,PV_TEST_00595,internal_relative_lowest_confidence,2,Tomato_Late_blight,2,Tomato_Late_blight,True,0.8971366338183858,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_010\primary_predicted_class_overlay.png,,CLEAR,SUBTLE,LOW,NO,MEDIUM,Single narrow curled leaf with comparatively subtle visible discoloration.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
