page,xai_case_id,domain,correct,confidence,true_class,predicted_class,selection_roles
1,XAI_001,internal,True,0.9999992640173208,Tomato_Bacterial_spot,Tomato_Bacterial_spot,internal_representative_correct
2,XAI_002,internal,True,0.9999991479278652,Tomato_Early_blight,Tomato_Early_blight,internal_representative_correct
3,XAI_003,internal,True,0.9999985560595678,Tomato_Late_blight,Tomato_Late_blight,internal_representative_correct
4,XAI_004,internal,True,0.9999993493195394,Tomato_Leaf_Mold,Tomato_Leaf_Mold,internal_representative_correct
5,XAI_005,internal,True,0.9999994719263872,Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot,internal_representative_correct
6,XAI_006,internal,True,0.9999991574045416,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_YellowLeaf__Curl_Virus,internal_representative_correct
7,XAI_007,internal,True,0.9999991182413416,Tomato__Tomato_mosaic_virus,Tomato__Tomato_mosaic_virus,internal_representative_correct
8,XAI_008,internal,True,0.9999972335642836,Tomato_healthy,Tomato_healthy,internal_representative_correct
9,XAI_009,internal,False,0.9998940833150056,Tomato_Early_blight,Tomato_Late_blight,internal_all_incorrect
10,XAI_010,internal,True,0.8971366338183858,Tomato_Late_blight,Tomato_Late_blight,internal_relative_lowest_confidence
11,XAI_011,internal,True,0.7891365749756621,Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot,internal_relative_lowest_confidence
12,XAI_012,internal,True,0.9092378587972696,Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot,internal_relative_lowest_confidence
13,XAI_013,external,True,0.9999974966049194,Tomato_Early_blight,Tomato_Early_blight,external_representative_correct
14,XAI_014,external,True,0.9999902248382568,Tomato_Late_blight,Tomato_Late_blight,external_representative_correct
15,XAI_015,external,True,0.9955716133117676,Tomato_Leaf_Mold,Tomato_Leaf_Mold,external_representative_correct
16,XAI_016,external,True,0.9999881982803344,Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot,external_representative_correct
17,XAI_017,external,True,0.9883350133895874,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_YellowLeaf__Curl_Virus,external_representative_correct
18,XAI_018,external,True,0.9221420288085938,Tomato_healthy,Tomato_healthy,external_representative_correct
19,XAI_019,external,False,0.9995757937431335,Tomato_Bacterial_spot,Tomato_Septoria_leaf_spot,external_representative_incorrect
20,XAI_020,external,False,0.997334361076355,Tomato_Early_blight,Tomato_Septoria_leaf_spot,external_representative_incorrect
21,XAI_021,external,False,0.9999958276748656,Tomato_Late_blight,Tomato_Early_blight,external_representative_incorrect;external_high_confidence_incorrect
22,XAI_022,external,False,0.9889935851097108,Tomato_Leaf_Mold,Tomato_Early_blight,external_representative_incorrect
23,XAI_023,external,False,0.9999233484268188,Tomato_Septoria_leaf_spot,Tomato_Early_blight,external_representative_incorrect
24,XAI_024,external,False,0.97798490524292,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Late_blight,external_representative_incorrect
25,XAI_025,external,False,0.9331840872764589,Tomato__Tomato_mosaic_virus,Tomato_Late_blight,external_representative_incorrect
26,XAI_026,external,False,0.9657007455825806,Tomato_healthy,Tomato_Late_blight,external_representative_incorrect
27,XAI_027,external,True,0.999998927116394,Tomato_Early_blight,Tomato_Early_blight,external_high_confidence_correct
28,XAI_028,external,True,0.9999988079071044,Tomato_Early_blight,Tomato_Early_blight,external_high_confidence_correct
29,XAI_029,external,True,0.9999982118606568,Tomato_Late_blight,Tomato_Late_blight,external_high_confidence_correct
30,XAI_030,external,True,0.9999980926513672,Tomato_Late_blight,Tomato_Late_blight,external_high_confidence_correct
31,XAI_031,external,True,0.9999984502792358,Tomato_Septoria_leaf_spot,Tomato_Septoria_leaf_spot,external_high_confidence_correct
32,XAI_032,external,False,0.9999966621398926,Tomato_Early_blight,Tomato_Late_blight,external_high_confidence_incorrect
33,XAI_033,external,False,0.9999936819076538,Tomato_Late_blight,Tomato_Leaf_Mold,external_high_confidence_incorrect
34,XAI_034,external,False,0.9999880790710448,Tomato_Septoria_leaf_spot,Tomato_Early_blight,external_high_confidence_incorrect
35,XAI_035,external,False,0.9999914169311525,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Late_blight,external_high_confidence_incorrect
36,XAI_036,external,False,0.5455209612846375,Tomato_Bacterial_spot,Tomato_Septoria_leaf_spot,external_low_confidence
37,XAI_037,external,False,0.5530862808227539,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Late_blight,external_low_confidence
38,XAI_038,external,False,0.4406662881374359,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Bacterial_spot,external_low_confidence
39,XAI_039,external,False,0.37744140625,Tomato__Tomato_mosaic_virus,Tomato_Leaf_Mold,external_low_confidence
40,XAI_040,external,False,0.5818392634391785,Tomato_healthy,Tomato_Late_blight,external_low_confidence
